"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
33,"341,01",15,2,0,"3,49",1,,,,"-0,5294","0,0463",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
34,"341,01",-10,0,0,"1,17",0,,,,"-0,5143","0,0151",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
35,"341,01",-10,0,0,"1,22",0,,,,"-0,5000","0,0143",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
36,"341,01",-10,0,0,1,-10,,,,"-0,7568","-0,2568",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
37,"341,01",15,2,0,"3,12",1,,,,"-0,7105","0,0462",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
38,"341,01",-10,0,0,"1,15",0,,,,"-0,6923","0,0182",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
39,"341,01",-10,0,0,"1,14",0,,,,"-0,6750","0,0173",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
40,"341,01",-10,0,0,"1,12",0,,,,"-0,6585","0,0165",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
41,"341,01",-10,0,0,"1,1",0,,,,"-0,6429","0,0157",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
42,"341,01",15,2,0,"7,19",1,,,,"-0,6047","0,0382",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
43,"341,01",0,1,0,"2,09",0,,,,"-0,5909","0,0137",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
44,"341,01",-10,0,0,"1,13",0,,,,"-0,5778","0,0131",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
45,"341,01",15,2,0,"3,12",1,,,,"-0,5435","0,0343",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
46,"341,01",15,2,0,"3,81",1,,,,"-0,5106","0,0328",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
47,"341,01",0,1,0,"2,15",0,,,,"-0,5000","0,0106",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
48,"341,01",-10,0,0,"1,91",0,,,,"-0,4898","0,0102",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
49,"341,01",-10,0,0,"1,07",0,,,,"-0,4800","0,0098",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
50,"341,01",-10,0,0,"1,37",0,,,,"-0,4706","0,0094",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
51,"341,01",-10,0,0,"1,04",0,,,,"-0,4615","0,0090",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
52,"341,01",-10,0,0,1,-10,,,,"-0,6415","-0,1800",,-10,,,,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
53,"341,01",15,2,0,"9,93",1,,,,"-0,6111","0,0304",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
54,"341,01",0,1,0,"2,2",0,,,,"-0,6000","0,0111",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
55,"341,01",-10,0,0,"1,3",0,,,,"-0,5893","0,0107",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
56,"341,01",-10,0,0,"1,68",0,,,,"-0,5789","0,0103",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
57,"341,01",-10,0,0,"1,94",0,,,,"-0,5690","0,0100",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
58,"341,01",0,1,1,"2,23",0,,,,"-0,5593","0,0096",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
59,"341,01",-10,0,0,"1,02",0,,,,"-0,5500","0,0093",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
60,"341,01",-10,0,0,"1,86",0,0,"-0,5500",-33,"-0,5410","0,0090",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
61,"341,01",-10,0,0,"1,23",0,0,"-0,5500",-33,"-0,5323","0,0087",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
