"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
1399,"-207,79",15,2,0,"3,34",1,0,"-0,0333",-2,"0,1886","0,0006",,1,0,"0,1500",,1,0,"0,2500",,1,1,"0,3167",0,1,0,"0,3967",,1,0,"0,4111","0,0000",1,0,"0,4095",,1,1,"0,3354",0,1,0,"0,3093",0,1,0,"0,2567",0
1400,"-207,79",-10,0,0,"1,64",0,0,"-0,0167",-1,"0,1884","-0,0001",,0,0,"0,1583",,0,0,"0,2556",,0,1,"0,3167",0,0,0,"0,4000",,0,0,"0,4139","0,0000",0,1,"0,4119",,0,0,"0,3354",0,0,0,"0,3111",0,0,-10,"0,2583",0
1401,"-207,79",15,2,0,"3,8",1,0,"-0,0167",-1,"0,1890","0,0006",,1,0,"0,1583",,1,0,"0,2556",,1,0,"0,3125",0,1,0,"0,4000",,1,0,"0,4139","0,0000",1,5,"0,4095",,1,-10,"0,3354",0,1,1,"0,3111",0,1,1,"0,2750",0
1402,"-207,79",15,2,0,"10,99",1,1,"0,0000",0,"0,1896","0,0006",,1,0,"0,1667",,1,1,"0,2611",,1,0,"0,3167",0,1,1,"0,4033",,1,1,"0,4167","0,0000",1,1,"0,4000",,1,1,"0,3583",0,1,0,"0,3111",0,1,-10,"0,2750",0
1403,"-207,79",-10,0,0,"1,97",0,0,"0,0000",0,"0,1895","-0,0001",,0,0,"0,1750",,0,0,"0,2611",,0,5,"0,3208",0,0,1,"0,4033",,0,0,"0,4167","0,0000",0,0,"0,4000",,0,1,"0,3583",0,0,0,"0,3130",0,0,1,"0,2933",0
1404,"-217,79",-10,0,1,"1,49",0,0,"0,0000",0,"0,1893","-0,0001",,0,0,"0,1750",,0,1,"0,2611",,0,0,"0,3000",0,0,0,"0,4000",,0,0,"0,4167","0,0000",0,0,"0,4000",,0,1,"0,3563",0,0,0,"0,3130",0,0,0,"0,2917",0
1405,"-217,79",-10,0,0,"1,9",0,0,"0,0000",0,"0,1892","-0,0001",,0,0,"0,1750",,0,0,"0,2556",,0,0,"0,3000",0,0,0,"0,4000",,0,0,"0,4167","0,0000",0,0,"0,4000",,0,0,"0,3542",0,0,1,"0,3130",0,0,0,"0,2917",0
1406,"-217,79",-10,0,0,"1,49",0,0,"0,0000",0,"0,1891","-0,0001",,0,0,"0,1750",,0,0,"0,2556",,0,0,"0,3000",0,0,0,"0,4000",,0,0,"0,4167","0,0000",0,0,"0,4000",,0,0,"0,3542",0,0,0,"0,3111",0,0,0,"0,2917",0
1407,"-217,79",15,2,0,"7,7",1,0,"0,0000",0,"0,1896","0,0006",,1,1,"0,1750",,1,0,"0,2556",,1,1,"0,3000",0,1,0,"0,4000",,1,1,"0,4167","0,0000",1,0,"0,4000",,1,0,"0,3542",0,1,1,"0,3111",0,1,0,"0,2917",0
1408,"-227,79",-10,0,1,"1,72",0,-10,"0,0167",1,"0,1895","-0,0001",,0,0,"0,1750",,0,1,"0,2611",,0,0,"0,3000",0,0,5,"0,4033",,0,1,"0,4167","0,0000",0,0,"0,4024",,0,0,"0,3563",0,0,0,"0,3111",0,0,0,"0,2933",0
1409,"-212,79",15,2,1,"3,71",1,0,"0,1833",11,"0,1901","0,0006",,1,1,"0,1750",,1,0,"0,2556",,1,0,"0,3000",0,1,1,"0,3867",,1,0,"0,4139","0,0000",1,0,"0,4024",,1,0,"0,3563",0,1,0,"0,3111",0,1,0,"0,2933",0
1410,"-212,79",15,2,0,"31,08",5,0,"0,2000",12,"0,1935","0,0034",,5,-10,"0,1750",,5,1,"0,2611",,5,0,"0,3042",0,5,0,"0,3867",,5,1,"0,4167","0,0000",5,0,"0,4048",,5,0,"0,3583",0,5,0,"0,3130",0,5,0,"0,2950",0
1411,"-212,79",15,2,0,"5,85",1,1,"0,2833",17,"0,1941","0,0006",,1,0,"0,3000",,1,0,"0,2833",,1,0,"0,3250",0,1,0,"0,4033",,1,1,"0,4278","0,0000",1,1,"0,4167",,1,0,"0,3688",0,1,1,"0,3222",0,1,1,"0,3033",0
1412,"-212,79",-10,0,0,1,-10,5,"0,2833",17,"0,1868","-0,0072",,-10,0,"0,3083",,-10,0,"0,2889",,-10,0,"0,3292",0,-10,1,"0,4067",,-10,1,"0,4278","0,0000",-10,1,"0,4167",,-10,1,"0,3708",0,-10,1,"0,3222",0,-10,10,"0,3033",0
1413,"-212,79",-10,0,0,"1,34",0,0,"0,0333",2,"0,1867","-0,0001",,0,0,"0,2250",,0,0,"0,2333",,0,0,"0,2875",0,0,0,"0,3700",,0,1,"0,3972","0,0000",0,0,"0,3905",,0,0,"0,3479",0,0,1,"0,3019",0,0,1,"0,2700",0
1414,"-212,79",15,2,0,"5,95",1,0,"0,0333",2,"0,1873","0,0006",,1,0,"0,2250",,1,1,"0,2333",,1,0,"0,2875",0,1,0,"0,3700",,1,0,"0,3944","0,0000",1,0,"0,3905",,1,-10,"0,3479",0,1,0,"0,3000",0,1,0,"0,2683",0
1415,"-212,79",15,2,0,"24,83",5,1,"0,0500",3,"0,1907","0,0034",,5,5,"0,2333",,5,1,"0,2333",,5,0,"0,2917",0,5,0,"0,3733",,5,1,"0,3972","0,0000",5,1,"0,3929",,5,0,"0,3708",0,5,0,"0,3019",0,5,0,"0,2700",0
1416,"-212,79",15,2,0,"4,88",1,0,"0,1167",7,"0,1912","0,0006",,1,0,"0,2333",,1,1,"0,2556",,1,1,"0,3125",0,1,1,"0,3900",,1,0,"0,4083","0,0000",1,5,"0,4024",,1,0,"0,3813",0,1,1,"0,3111",0,1,0,"0,2783",0
1417,"-212,79",15,2,0,"14,16",1,0,"0,1333",8,"0,1918","0,0006",,1,0,"0,2417",,1,1,"0,2556",,1,0,"0,3125",0,1,1,"0,3900",,1,-10,"0,4111","0,0000",1,1,"0,3929",,1,0,"0,3833",0,1,0,"0,3111",0,1,5,"0,2800",0
1418,"-212,79",15,2,0,"3,53",1,0,"0,1500",9,"0,1924","0,0006",,1,1,"0,2500",,1,1,"0,2556",,1,0,"0,3167",0,1,1,"0,3900",,1,1,"0,4417","0,0000",1,1,"0,3929",,1,0,"0,3854",0,1,-10,"0,3130",0,1,0,"0,2733",0
1419,"-212,79",-10,0,0,"1,4",0,0,"0,1667",10,"0,1923","-0,0001",,0,0,"0,2500",,0,1,"0,2556",,0,-10,"0,3208",0,0,1,"0,3900",,0,0,"0,4417","0,0000",0,-10,"0,3929",,0,0,"0,3875",0,0,1,"0,3333",0,0,0,"0,2750",0
1420,"-212,79",-10,0,0,"1,52",0,0,"0,1667",10,"0,1921","-0,0001",,0,0,"0,2500",,0,0,"0,2500",,0,1,"0,3625",0,0,5,"0,3867",,0,0,"0,4417","0,0000",0,0,"0,4167",,0,0,"0,3875",0,0,0,"0,3315",0,0,-10,"0,2750",0
1421,"-212,79",15,2,0,"3,97",1,0,"0,1667",10,"0,1927","0,0006",,1,1,"0,2500",,1,0,"0,2500",,1,0,"0,3583",0,1,0,"0,3700",,1,0,"0,4417","0,0000",1,0,"0,4167",,1,0,"0,3875",0,1,0,"0,3315",0,1,10,"0,2917",0
1422,"-212,79",15,2,0,"3,59",1,0,"0,1833",11,"0,1933","0,0006",,1,1,"0,2500",,1,0,"0,2556",,1,5,"0,3625",0,1,0,"0,3733",,1,0,"0,4444","0,0000",1,0,"0,4190",,1,1,"0,3896",0,1,0,"0,3333",0,1,0,"0,2767",0
1423,"-212,79",15,2,0,"3,08",1,5,"0,2000",12,"0,1938","0,0006",,1,0,"0,2500",,1,0,"0,2611",,1,0,"0,3458",0,1,1,"0,3767",,1,5,"0,4472","0,0000",1,0,"0,4214",,1,1,"0,3896",0,1,0,"0,3352",0,1,0,"0,2783",0
1424,"-212,79",-10,0,0,"1,65",0,0,"0,1333",8,"0,1937","-0,0001",,0,0,"0,2583",,0,0,"0,2667",,0,0,"0,3500",0,0,0,"0,3767",,0,1,"0,4361","0,0000",0,0,"0,4238",,0,1,"0,3896",0,0,0,"0,3370",0,0,1,"0,2800",0
1425,"-212,79",-10,0,0,"1,48",0,1,"0,1333",8,"0,1935","-0,0001",,0,1,"0,2583",,0,5,"0,2667",,0,1,"0,3500",0,0,0,"0,3767",,0,5,"0,4333","0,0000",0,1,"0,4238",,0,1,"0,3875",0,0,-10,"0,3370",0,0,0,"0,2783",0
1426,"-212,79",-10,0,0,1,-10,1,"0,1167",7,"0,1864","-0,0071",,-10,0,"0,2500",,-10,0,"0,2389",,-10,0,"0,3458",0,-10,0,"0,3767",,-10,0,"0,4194","0,0000",-10,5,"0,4214",,-10,0,"0,3854",0,-10,1,"0,3556",0,-10,-10,"0,2783",0
1427,"-212,79",0,1,0,"2,25",0,5,"-0,0667",-4,"0,1863","-0,0001",,0,1,"0,1667",,0,1,"0,1833",,0,0,"0,3042",0,0,0,"0,3433",,0,0,"0,3917","0,0000",0,0,"0,3857",,0,1,"0,3646",0,0,5,"0,3352",0,0,1,"0,2783",0
1428,"-212,79",0,1,0,"2,37",0,0,"-0,1500",-9,"0,1861","-0,0001",,0,1,"0,1583",,0,0,"0,1778",,0,0,"0,3042",0,0,0,"0,3433",,0,0,"0,3917","0,0000",0,1,"0,3857",,0,0,"0,3625",0,0,0,"0,3259",0,0,0,"0,2767",0
1429,"-212,79",15,2,0,"4,99",1,1,"-0,1500",-9,"0,1867","0,0006",,1,0,"0,1500",,1,10,"0,1778",,1,0,"0,3042",0,1,1,"0,3433",,1,0,"0,3917","0,0000",1,0,"0,3833",,1,1,"0,3625",0,1,0,"0,3259",0,1,0,"0,2767",0
1430,"-212,79",-10,0,0,"1,87",0,1,"-0,1500",-9,"0,1866","-0,0001",,0,0,"0,1583",,0,0,"0,1278",,0,1,"0,3083",0,0,1,"0,3433",,0,0,"0,3944","0,0000",0,0,"0,3857",,0,1,"0,3625",0,0,1,"0,3278",0,0,0,"0,2783",0
1431,"-222,79",-10,0,1,"1,18",0,0,"-0,1667",-10,"0,1865","-0,0001",,0,1,"0,1583",,0,0,"0,1278",,0,5,"0,3042",0,0,1,"0,3400",,0,0,"0,3944","0,0000",0,0,"0,3857",,0,0,"0,3604",0,0,1,"0,3259",0,0,1,"0,2783",0
1432,"-222,79",15,2,0,"7,8",1,0,"-0,1667",-10,"0,1870","0,0006",,1,0,"0,1500",,1,0,"0,1278",,1,1,"0,2833",0,1,0,"0,3367",,1,0,"0,3944","0,0000",1,0,"0,3857",,1,0,"0,3604",0,1,0,"0,3241",0,1,5,"0,2767",0
1433,"-222,79",-10,0,0,"1,69",0,1,"-0,1500",-9,"0,1869","-0,0001",,0,1,"0,1583",,0,0,"0,1333",,0,0,"0,2833",0,0,0,"0,3400",,0,0,"0,3972","0,0000",0,0,"0,3881",,0,1,"0,3625",0,0,0,"0,3259",0,0,0,"0,2700",0
1434,"-222,79",15,2,0,"20,33",5,1,"-0,1667",-10,"0,1902","0,0034",,5,0,"0,1500",,5,0,"0,1333",,5,0,"0,2833",0,5,0,"0,3400",,5,0,"0,3972","0,0000",5,-10,"0,3881",,5,0,"0,3604",0,5,0,"0,3259",0,5,0,"0,2700",0
1435,"-222,79",15,2,0,"14,9",1,1,"-0,1000",-6,"0,1908","0,0006",,1,0,"0,1917",,1,0,"0,1611",,1,1,"0,3042",0,1,0,"0,3567",,1,5,"0,4111","0,0000",1,0,"0,4238",,1,0,"0,3708",0,1,0,"0,3352",0,1,10,"0,2783",0
1436,"-222,79",-10,0,0,"1,22",0,0,"-0,1000",-6,"0,1907","-0,0001",,0,0,"0,2000",,0,0,"0,1667",,0,0,"0,3042",0,0,1,"0,3600",,0,0,"0,4000","0,0000",0,0,"0,4262",,0,0,"0,3729",0,0,1,"0,3370",0,0,1,"0,2633",0
1437,"-222,79",-10,0,0,"1,08",0,0,"-0,1000",-6,"0,1905","-0,0001",,0,1,"0,2000",,0,1,"0,1667",,0,0,"0,3042",0,0,0,"0,3567",,0,0,"0,4000","0,0000",0,0,"0,4262",,0,0,"0,3729",0,0,5,"0,3352",0,0,0,"0,2617",0
1438,"-222,79",-10,0,0,1,-10,0,"-0,1000",-6,"0,1835","-0,0071",,-10,0,"0,1917",,-10,0,"0,1611",,-10,0,"0,3042",0,-10,0,"0,3567",,-10,0,"0,4000","0,0000",-10,0,"0,4262",,-10,-10,"0,3729",0,-10,-10,"0,3259",0,-10,5,"0,2617",0
1439,"-222,79",15,2,0,"22,18",5,0,"-0,2667",-16,"0,1868","0,0033",,5,0,"0,1083",,5,0,"0,1056",,5,0,"0,2625",0,5,0,"0,3233",,5,1,"0,3722","0,0000",5,0,"0,4024",,5,0,"0,3729",0,5,0,"0,3259",0,5,0,"0,2367",0
1440,"-222,79",0,1,0,"2,78",0,0,"-0,1833",-11,"0,1867","-0,0001",,0,1,"0,1500",,0,0,"0,1333",,0,1,"0,2833",0,0,0,"0,3400",,0,5,"0,3833","0,0000",0,5,"0,4143",,0,0,"0,3833",0,0,0,"0,3352",0,0,1,"0,2450",0
1441,"-222,79",-10,0,0,"1,35",0,-10,"-0,1833",-11,"0,1865","-0,0001",,0,1,"0,1417",,0,0,"0,1333",,0,0,"0,2792",0,0,10,"0,3400",,0,0,"0,3694","0,0000",0,1,"0,4024",,0,1,"0,3833",0,0,1,"0,3352",0,0,0,"0,2433",0
1442,"-222,79",0,1,0,"2,69",0,0,"-0,0167",-1,"0,1864","-0,0001",,0,1,"0,1333",,0,1,"0,1333",,0,10,"0,2792",0,0,0,"0,3067",,0,0,"0,3694","0,0000",0,-10,"0,4000",,0,1,"0,3813",0,0,0,"0,3333",0,0,0,"0,2433",0
1443,"-222,79",-10,0,0,"1,63",0,1,"-0,0167",-1,"0,1863","-0,0001",,0,0,"0,1250",,0,0,"0,1278",,0,0,"0,2375",0,0,5,"0,3067",,0,0,"0,3694","0,0000",0,10,"0,4238",,0,1,"0,3792",0,0,5,"0,3333",0,0,0,"0,2433",0
1444,"-222,79",0,1,0,"2,03",0,0,"-0,0333",-2,"0,1862","-0,0001",,0,0,"0,1250",,0,1,"0,1278",,0,1,"0,2375",0,0,0,"0,2900",,0,0,"0,3694","0,0000",0,1,"0,4000",,0,0,"0,3771",0,0,0,"0,3241",0,0,1,"0,2433",0
1445,"-222,79",0,1,1,"2,22",0,0,"-0,0333",-2,"0,1860","-0,0001",,0,0,"0,1250",,0,1,"0,1222",,0,-10,"0,2333",0,0,1,"0,2900",,0,0,"0,3694","0,0000",0,1,"0,3976",,0,0,"0,3771",0,0,0,"0,3241",0,0,-10,"0,2417",0
1446,"-222,79",-10,0,0,"1,34",0,1,"-0,0333",-2,"0,1859","-0,0001",,0,0,"0,1250",,0,-10,"0,1167",,0,1,"0,2750",0,0,0,"0,2867",,0,1,"0,3694","0,0000",0,0,"0,3952",,0,0,"0,3771",0,0,5,"0,3241",0,0,0,"0,2583",0
1447,"-222,79",-10,0,0,"1,39",0,0,"-0,0500",-3,"0,1858","-0,0001",,0,0,"0,1250",,0,1,"0,1722",,0,0,"0,2708",0,0,0,"0,2867",,0,0,"0,3667","0,0000",0,0,"0,3952",,0,0,"0,3771",0,0,0,"0,3148",0,0,0,"0,2583",0
1448,"-222,79",0,1,0,"2,57",0,0,"-0,0500",-3,"0,1856","-0,0001",,0,1,"0,1250",,0,0,"0,1667",,0,0,"0,2708",0,0,0,"0,2867",,0,0,"0,3667","0,0000",0,0,"0,3952",,0,0,"0,3771",0,0,0,"0,3148",0,0,1,"0,2583",0
1449,"-222,79",-10,0,0,"1,06",0,1,"-0,0500",-3,"0,1855","-0,0001",,0,0,"0,1167",,0,0,"0,1667",,0,0,"0,2708",0,0,0,"0,2867",,0,0,"0,3667","0,0000",0,0,"0,3952",,0,1,"0,3771",0,0,0,"0,3148",0,0,0,"0,2567",0
1450,"-222,79",-10,0,0,"1,09",0,10,"-0,0667",-4,"0,1854","-0,0001",,0,1,"0,1167",,0,1,"0,1667",,0,1,"0,2708",0,0,0,"0,2867",,0,0,"0,3667","0,0000",0,0,"0,3952",,0,0,"0,3750",0,0,0,"0,3148",0,0,0,"0,2567",0
1451,"-222,79",-10,0,0,"1,04",0,-10,"-0,2333",-14,"0,1853","-0,0001",,0,0,"0,1083",,0,1,"0,1611",,0,1,"0,2667",0,0,1,"0,2867",,0,1,"0,3667","0,0000",0,0,"0,3952",,0,0,"0,3750",0,0,0,"0,3148",0,0,1,"0,2567",0
1452,"-222,79",-10,0,0,"1,3",0,0,"-0,0667",-4,"0,1851","-0,0001",,0,1,"0,1083",,0,1,"0,1556",,0,0,"0,2625",0,0,0,"0,2833",,0,0,"0,3639","0,0000",0,1,"0,3952",,0,0,"0,3750",0,0,0,"0,3148",0,0,0,"0,2550",0
1453,"-232,79",-10,0,1,"1,2",0,0,"-0,0667",-4,"0,1850","-0,0001",,0,1,"0,1000",,0,0,"0,1500",,0,0,"0,2625",0,0,1,"0,2833",,0,0,"0,3639","0,0000",0,5,"0,3929",,0,0,"0,3750",0,0,0,"0,3148",0,0,0,"0,2550",0
1454,"-232,79",15,2,0,"3,61",1,0,"-0,0667",-4,"0,1856","0,0006",,1,1,"0,0917",,1,0,"0,1500",,1,1,"0,2625",0,1,0,"0,2800",,1,0,"0,3639","0,0000",1,0,"0,3810",,1,1,"0,3750",0,1,0,"0,3148",0,1,0,"0,2550",0
1455,"-232,79",-10,0,0,"1,4",0,0,"-0,0500",-3,"0,1854","-0,0001",,0,5,"0,0917",,0,1,"0,1556",,0,0,"0,2625",0,0,1,"0,2833",,0,0,"0,3667","0,0000",0,0,"0,3833",,0,0,"0,3750",0,0,0,"0,3167",0,0,0,"0,2567",0
1456,"-232,79",-10,0,0,"1,24",0,0,"-0,0500",-3,"0,1853","-0,0001",,0,0,"0,0500",,0,1,"0,1500",,0,5,"0,2625",0,0,1,"0,2800",,0,0,"0,3667","0,0000",0,0,"0,3833",,0,1,"0,3750",0,0,1,"0,3167",0,0,0,"0,2567",0
1457,"-232,79",15,2,0,"4,42",1,-10,"-0,0500",-3,"0,1859","0,0006",,1,1,"0,0500",,1,0,"0,1444",,1,5,"0,2417",0,1,0,"0,2767",,1,5,"0,3667","0,0000",1,5,"0,3833",,1,0,"0,3729",0,1,1,"0,3148",0,1,-10,"0,2567",0
1458,"-232,79",15,2,0,"3,25",1,0,"0,1333",8,"0,1864","0,0006",,1,0,"0,0500",,1,1,"0,1500",,1,1,"0,2250",0,1,0,"0,2800",,1,1,"0,3556","0,0000",1,1,"0,3738",,1,0,"0,3750",0,1,1,"0,3148",0,1,-10,"0,2750",0
1459,"-232,79",15,2,0,"8,43",1,1,"0,1500",9,"0,1870","0,0006",,1,0,"0,0583",,1,0,"0,1500",,1,0,"0,2250",0,1,1,"0,2833",,1,0,"0,3556","0,0000",1,0,"0,3738",,1,0,"0,3771",0,1,1,"0,3148",0,1,0,"0,2933",0
1460,"-232,79",-10,0,0,"1,36",0,0,"0,1500",9,"0,1869","-0,0001",,0,0,"0,0667",,0,0,"0,1556",,0,0,"0,2292",0,0,1,"0,2833",,0,0,"0,3583","0,0000",0,0,"0,3762",,0,1,"0,3792",0,0,0,"0,3148",0,0,0,"0,2950",0
1461,"-232,79",0,1,0,"2,13",0,1,"0,1500",9,"0,1867","-0,0001",,0,0,"0,0667",,0,0,"0,1556",,0,0,"0,2292",0,0,0,"0,2800",,0,0,"0,3583","0,0000",0,0,"0,3762",,0,5,"0,3771",0,0,-10,"0,3148",0,0,1,"0,2950",0
1462,"-232,79",-10,0,0,"1,57",0,1,"0,1333",8,"0,1866","-0,0001",,0,1,"0,0667",,0,0,"0,1556",,0,1,"0,2292",0,0,0,"0,2800",,0,1,"0,3583","0,0000",0,1,"0,3762",,0,1,"0,3667",0,0,1,"0,3333",0,0,0,"0,2933",0
1463,"-232,79",-10,0,0,"1,95",0,0,"0,1167",7,"0,1865","-0,0001",,0,0,"0,0583",,0,0,"0,1556",,0,0,"0,2250",0,0,5,"0,2800",,0,1,"0,3556","0,0000",0,0,"0,3738",,0,0,"0,3646",0,0,1,"0,3315",0,0,0,"0,2933",0
1464,"-217,79",15,2,1,"6,31",1,0,"0,1167",7,"0,1870","0,0006",,1,0,"0,0583",,1,0,"0,1556",,1,1,"0,2250",0,1,0,"0,2633",,1,0,"0,3528","0,0000",1,0,"0,3738",,1,0,"0,3646",0,1,1,"0,3296",0,1,0,"0,2933",0
1465,"-217,79",-10,0,0,"1,39",0,0,"0,1333",8,"0,1869","-0,0001",,0,0,"0,0667",,0,0,"0,1611",,0,0,"0,2250",0,0,0,"0,2667",,0,0,"0,3556","0,0000",0,0,"0,3762",,0,0,"0,3667",0,0,0,"0,3296",0,0,1,"0,2950",0
1466,"-202,79",15,2,1,"16,8",5,0,"0,1333",8,"0,1902","0,0033",,5,0,"0,0667",,5,0,"0,1611",,5,0,"0,2250",0,5,0,"0,2667",,5,0,"0,3556","0,0000",5,0,"0,3762",,5,0,"0,3667",0,5,0,"0,3296",0,5,0,"0,2933",0
1467,"-187,79",15,2,1,"18,21",5,1,"0,2167",13,"0,1935","0,0033",,5,0,"0,1083",,5,1,"0,1889",,5,0,"0,2458",0,5,1,"0,2833",,5,0,"0,3694","0,0000",5,1,"0,3881",,5,0,"0,3771",0,5,0,"0,3389",0,5,1,"0,3017",0
1468,"-187,79",15,2,0,"6,13",1,0,"0,2833",17,"0,1940","0,0005",,1,-10,"0,1500",,1,0,"0,2111",,1,1,"0,2667",0,1,0,"0,2967",,1,5,"0,3833","0,0000",1,1,"0,3976",,1,0,"0,3875",0,1,0,"0,3481",0,1,0,"0,3083",0
1469,"-187,79",15,2,0,"447,84",10,1,"0,3000",18,"0,2007","0,0067",,10,0,"0,2417",,10,1,"0,2167",,10,0,"0,2667",0,10,0,"0,3000",,10,1,"0,3722","0,0000",10,0,"0,3976",,10,0,"0,3896",0,10,0,"0,3500",0,10,0,"0,3100",0
1470,"-187,79",-10,0,0,"1,52",0,5,"0,4500",27,"0,2005","-0,0001",,0,0,"0,3250",,0,-10,"0,2667",,0,1,"0,3083",0,0,0,"0,3333",,0,0,"0,3972","0,0000",0,1,"0,4214",,0,0,"0,4104",0,0,0,"0,3685",0,0,0,"0,3267",0
1471,"-187,79",0,1,0,"2,34",0,1,"0,3667",22,"0,2004","-0,0001",,0,1,"0,3250",,0,0,"0,3222",,0,0,"0,3042",0,0,0,"0,3333",,0,0,"0,3972","0,0000",0,1,"0,4190",,0,1,"0,4104",0,0,0,"0,3685",0,0,1,"0,3267",0
1472,"-187,79",-10,0,0,"1,37",0,-10,"0,3500",21,"0,2003","-0,0001",,0,5,"0,3167",,0,0,"0,3222",,0,0,"0,3042",0,0,0,"0,3333",,0,1,"0,3972","0,0000",0,1,"0,4167",,0,1,"0,4083",0,0,1,"0,3685",0,0,1,"0,3250",0
1473,"-187,79",-10,0,0,"1,84",0,0,"0,5167",31,"0,2001","-0,0001",,0,0,"0,2750",,0,0,"0,3222",,0,0,"0,3042",0,0,0,"0,3333",,0,0,"0,3944","0,0000",0,1,"0,4143",,0,0,"0,4063",0,0,0,"0,3667",0,0,1,"0,3233",0
1474,"-187,79",-10,0,0,"1,21",0,1,"0,5167",31,"0,2000","-0,0001",,0,0,"0,2750",,0,0,"0,3222",,0,1,"0,3042",0,0,0,"0,3333",,0,0,"0,3944","0,0000",0,0,"0,4119",,0,0,"0,4063",0,0,-10,"0,3667",0,0,0,"0,3217",0
1475,"-187,79",15,2,0,"11,18",1,5,"0,5000",30,"0,2005","0,0005",,1,1,"0,2750",,1,5,"0,3222",,1,1,"0,3000",0,1,0,"0,3333",,1,0,"0,3944","0,0000",1,1,"0,4119",,1,1,"0,4063",0,1,0,"0,3852",0,1,0,"0,3217",0
1476,"-187,79",-10,0,0,"1,47",0,1,"0,4333",26,"0,2004","-0,0001",,0,0,"0,2750",,0,0,"0,3000",,0,1,"0,3000",0,0,1,"0,3367",,0,1,"0,3972","0,0000",0,0,"0,4119",,0,5,"0,4063",0,0,0,"0,3870",0,0,1,"0,3233",0
1477,"-187,79",-10,0,0,1,-10,1,"0,4167",25,"0,1935","-0,0069",,-10,0,"0,2750",,-10,0,"0,3000",,-10,1,"0,2958",0,-10,0,"0,3333",,-10,1,"0,3944","0,0000",-10,-10,"0,4119",,-10,1,"0,3958",0,-10,0,"0,3870",0,-10,0,"0,3217",0
1478,"-187,79",0,1,0,"2,06",0,1,"0,2333",14,"0,1934","-0,0001",,0,0,"0,1917",,0,1,"0,2444",,0,1,"0,2500",0,0,0,"0,3000",,0,1,"0,3639","0,0000",0,1,"0,4119",,0,1,"0,3729",0,0,0,"0,3685",0,0,-10,"0,3050",0
1479,"-187,79",15,2,0,"9,03",1,0,"0,2167",13,"0,1939","0,0005",,1,0,"0,1917",,1,0,"0,2389",,1,1,"0,2458",0,1,-10,"0,3000",,1,1,"0,3611","0,0000",1,0,"0,4095",,1,-10,"0,3708",0,1,0,"0,3685",0,1,1,"0,3217",0
1480,"-187,79",-10,0,0,"1,03",0,0,"0,2333",14,"0,1938","-0,0001",,0,0,"0,2000",,0,0,"0,2444",,0,0,"0,2458",0,0,1,"0,3367",,0,5,"0,3611","0,0000",0,0,"0,4119",,0,0,"0,3938",0,0,0,"0,3704",0,0,0,"0,3217",0
1481,"-187,79",-10,0,0,"1,03",0,1,"0,2333",14,"0,1937","-0,0001",,0,0,"0,2000",,0,1,"0,2444",,0,0,"0,2458",0,0,0,"0,3333",,0,0,"0,3472","0,0000",0,0,"0,4119",,0,0,"0,3938",0,0,0,"0,3704",0,0,0,"0,3217",0
1482,"-187,79",15,2,0,"4,37",1,1,"0,2167",13,"0,1942","0,0005",,1,0,"0,2000",,1,1,"0,2389",,1,0,"0,2458",0,1,5,"0,3333",,1,0,"0,3472","0,0000",1,0,"0,4119",,1,0,"0,3938",0,1,1,"0,3704",0,1,0,"0,3217",0
1483,"-187,79",-10,0,0,"1,19",0,1,"0,2167",13,"0,1941","-0,0001",,0,5,"0,2083",,0,0,"0,2389",,0,0,"0,2500",0,0,0,"0,3200",,0,1,"0,3500","0,0000",0,5,"0,4143",,0,0,"0,3958",0,0,1,"0,3704",0,0,0,"0,3233",0
1484,"-187,79",-10,0,0,"1,23",0,0,"0,2000",12,"0,1939","-0,0001",,0,0,"0,1667",,0,0,"0,2389",,0,0,"0,2500",0,0,0,"0,3200",,0,0,"0,3472","0,0000",0,1,"0,4024",,0,0,"0,3958",0,0,1,"0,3685",0,0,0,"0,3233",0
1485,"-187,79",-10,0,0,"1,15",0,0,"0,2000",12,"0,1938","-0,0001",,0,1,"0,1667",,0,1,"0,2389",,0,5,"0,2500",0,0,1,"0,3200",,0,0,"0,3472","0,0000",0,5,"0,4000",,0,1,"0,3958",0,0,1,"0,3667",0,0,-10,"0,3233",0
1486,"-187,79",15,2,0,"3,79",1,-10,"0,2000",12,"0,1944","0,0005",,1,1,"0,1583",,1,0,"0,2333",,1,0,"0,2292",0,1,0,"0,3167",,1,0,"0,3472","0,0000",1,0,"0,3881",,1,5,"0,3938",0,1,0,"0,3648",0,1,1,"0,3400",0
1487,"-187,79",-10,0,0,"1,45",0,0,"0,3833",23,"0,1942","-0,0001",,0,5,"0,1583",,0,1,"0,2389",,0,1,"0,2333",0,0,0,"0,3200",,0,0,"0,3500","0,0000",0,0,"0,3905",,0,0,"0,3854",0,0,1,"0,3667",0,0,5,"0,3400",0
1488,"-187,79",0,1,0,"2,14",0,0,"0,3833",23,"0,1941","-0,0001",,0,0,"0,1167",,0,1,"0,2333",,0,0,"0,2292",0,0,0,"0,3200",,0,0,"0,3500","0,0000",0,0,"0,3905",,0,1,"0,3854",0,0,0,"0,3648",0,0,0,"0,3317",0
