Iteração,Precisão Geral,Precisão Modelo
6001,0.0,0.0
6002,0.0,0.0
6003,33.33333333333333,100.0
6004,25.0,100.0
6005,20.0,100.0
6006,33.33333333333333,100.0
6007,28.57142857142857,100.0
6008,25.0,50.0
6009,22.22222222222222,33.33333333333333
6010,30.0,33.33333333333333
6011,36.36363636363637,33.33333333333333
6012,41.66666666666667,33.33333333333333
6013,38.46153846153847,33.33333333333333
6014,42.857142857142854,33.33333333333333
6015,46.666666666666664,33.33333333333333
6016,43.75,33.33333333333333
6017,41.17647058823529,33.33333333333333
6018,38.88888888888889,33.33333333333333
6019,42.10526315789473,33.33333333333333
6020,45.0,33.33333333333333
6021,42.857142857142854,33.33333333333333
6022,40.909090909090914,33.33333333333333
6023,39.130434782608695,25.0
6024,37.5,25.0
6025,40.0,25.0
6026,42.30769230769231,25.0
6027,40.74074074074074,25.0
6028,42.857142857142854,40.0
6029,41.37931034482759,40.0
6030,43.333333333333336,40.0
6031,41.935483870967744,40.0
6032,40.625,40.0
6033,42.42424242424242,50.0
6034,41.17647058823529,50.0
6035,40.0,50.0
6036,38.88888888888889,42.857142857142854
6037,37.83783783783784,37.5
6038,39.473684210526315,37.5
6039,41.02564102564102,44.44444444444444
6040,42.5,44.44444444444444
6041,41.46341463414634,44.44444444444444
6042,40.476190476190474,44.44444444444444
6043,41.86046511627907,44.44444444444444
6044,40.909090909090914,44.44444444444444
6045,40.0,40.0
6046,39.130434782608695,40.0
6047,38.297872340425535,40.0
6048,39.58333333333333,40.0
6049,40.816326530612244,40.0
6050,42.0,40.0
6051,41.17647058823529,40.0
6052,40.38461538461539,40.0
6053,41.509433962264154,40.0
6054,40.74074074074074,40.0
6055,41.81818181818181,45.45454545454545
6056,41.07142857142857,45.45454545454545
6057,40.35087719298245,45.45454545454545
6058,41.37931034482759,45.45454545454545
6059,40.67796610169492,45.45454545454545
6060,40.0,45.45454545454545
6061,39.34426229508197,45.45454545454545
6062,38.70967741935484,45.45454545454545
6063,39.682539682539684,45.45454545454545
6064,39.0625,41.66666666666667
6065,38.46153846153847,41.66666666666667
6066,39.39393939393939,41.66666666666667
6067,38.80597014925373,41.66666666666667
6068,38.23529411764706,41.66666666666667
6069,37.68115942028986,41.66666666666667
6070,37.142857142857146,38.46153846153847
6071,38.028169014084504,38.46153846153847
6072,37.5,38.46153846153847
6073,36.986301369863014,38.46153846153847
6074,37.83783783783784,42.857142857142854
6075,37.333333333333336,42.857142857142854
6076,36.84210526315789,42.857142857142854
