rodada,modelo,accuracy,precision,recall,f1_score,precision 0,precision 1,recall 0,recall 1,f1_score 0,f1_score 1
2,Regressão Logística,0.5979381443298969,0.5942159302398529,0.5979381443298969,0.5960199584522492,0.3448275862068966,0.7058823529411765,0.3333333333333333,0.7164179104477612,0.3389830508474576,0.7111111111111111
3,Regressão Logística,0.47107438016528924,0.48449858809266844,0.47107438016528924,0.47736343479137266,0.20930232558139536,0.6153846153846154,0.23076923076923078,0.5853658536585366,0.21951219512195122,0.6
4,Regressão Logística,0.45517241379310347,0.521366444643982,0.45517241379310347,0.4801211667672212,0.1935483870967742,0.6506024096385542,0.2926829268292683,0.5192307692307693,0.23300970873786409,0.5775401069518716
5,Regressão Logística,0.5562130177514792,0.5710131025389538,0.5562130177514792,0.5627543115432493,0.32786885245901637,0.6851851851851852,0.37037037037037035,0.6434782608695652,0.34782608695652173,0.6636771300448431
6,Regressão Logística,0.5595854922279793,0.5782339229095086,0.5595854922279793,0.5678470609254959,0.29850746268656714,0.6984126984126984,0.3448275862068966,0.6518518518518519,0.32,0.6743295019157088
7,Regressão Logística,0.5990783410138248,0.5733955013524906,0.5990783410138248,0.5797297874414898,0.41818181818181815,0.6604938271604939,0.2948717948717949,0.7697841726618705,0.3458646616541353,0.7109634551495017
8,Regressão Logística,0.5186721991701245,0.5353291651802757,0.5186721991701245,0.5262396587716811,0.25882352941176473,0.6602564102564102,0.29333333333333333,0.6204819277108434,0.275,0.639751552795031
9,Regressão Logística,0.6264150943396226,0.6224290562909591,0.6264150943396226,0.6243481639690012,0.37662337662337664,0.7287234042553191,0.3625,0.7405405405405405,0.36942675159235666,0.7345844504021448
10,Regressão Logística,0.5432525951557093,0.5892608521588732,0.5432525951557093,0.5611867346755831,0.2702702702702703,0.7134831460674157,0.37037037037037035,0.6105769230769231,0.3125,0.6580310880829016
11,Regressão Logística,0.5463258785942492,0.5650354406183027,0.5463258785942492,0.5547497337593184,0.27102803738317754,0.6893203883495146,0.3118279569892473,0.6454545454545455,0.29,0.6666666666666666
12,Regressão Logística,0.5964391691394659,0.6276831419678703,0.5964391691394659,0.6082788503895459,0.3643410852713178,0.7403846153846154,0.46534653465346537,0.652542372881356,0.40869565217391307,0.6936936936936937
13,Regressão Logística,0.5318559556786704,0.5600207742572603,0.5318559556786704,0.5437207368220669,0.27611940298507465,0.6828193832599119,0.3394495412844037,0.6150793650793651,0.3045267489711934,0.6471816283924844
14,Regressão Logística,0.5766233766233766,0.6069731329225,0.5766233766233766,0.5883921869275877,0.34459459459459457,0.7215189873417721,0.4358974358974359,0.6380597014925373,0.3849056603773585,0.6772277227722773
15,Regressão Logística,0.5501222493887531,0.5591549405503105,0.5501222493887531,0.5543485948425895,0.30714285714285716,0.6765799256505576,0.33076923076923076,0.6523297491039427,0.31851851851851853,0.6642335766423357
16,Regressão Logística,0.5912240184757506,0.6321101933748956,0.5912240184757506,0.6064030010283773,0.3373493975903614,0.7490636704119851,0.45528455284552843,0.6451612903225806,0.3875432525951557,0.6932409012131716
17,Regressão Logística,0.5733041575492341,0.5969625041723845,0.5733041575492341,0.5833632904197399,0.3148148148148148,0.7152542372881356,0.37777777777777777,0.65527950310559,0.3434343434343434,0.6839546191247974
18,Regressão Logística,0.577962577962578,0.6037498993195196,0.577962577962578,0.589035277351078,0.296969696969697,0.7246835443037974,0.3602941176470588,0.663768115942029,0.32558139534883723,0.6928895612708018
19,Regressão Logística,0.6217821782178218,0.6610983822884522,0.6217821782178218,0.6365709945653762,0.3532608695652174,0.7757009345794392,0.4744525547445255,0.6766304347826086,0.40498442367601245,0.7227866473149492
20,Regressão Logística,0.55765595463138,0.5606419303764715,0.55765595463138,0.5591215967397442,0.2874251497005988,0.6823204419889503,0.294478527607362,0.674863387978142,0.2909090909090909,0.6785714285714286
21,Regressão Logística,0.5605786618444847,0.5893118244916716,0.5605786618444847,0.5724908769235382,0.30198019801980197,0.7094017094017094,0.37423312883435583,0.6384615384615384,0.33424657534246577,0.6720647773279352
22,Regressão Logística,0.5823223570190641,0.5862720366193394,0.5823223570190641,0.5842184229240727,0.3673469387755102,0.6929133858267716,0.38095238095238093,0.6804123711340206,0.37402597402597404,0.6866059817945384
23,Regressão Logística,0.5906821963394343,0.5968263432508123,0.5906821963394343,0.5935343924150831,0.3915094339622642,0.699228791773779,0.415,0.6783042394014963,0.4029126213592233,0.6886075949367089
24,Regressão Logística,0.5664,0.5840753738255922,0.5664,0.5739733573121697,0.3406113537117904,0.696969696969697,0.3939393939393939,0.6463700234192038,0.36533957845433257,0.6707168894289186
25,Regressão Logística,0.588597842835131,0.600034442128161,0.588597842835131,0.5937547914465217,0.35714285714285715,0.7105882352941176,0.39408866995073893,0.6771300448430493,0.3747072599531616,0.6934557979334098
26,Regressão Logística,0.5705794947994056,0.5851682777654027,0.5705794947994056,0.5769023793205875,0.3562753036437247,0.6948356807511737,0.4036697247706422,0.6505494505494506,0.37849462365591396,0.6719636776390465
