Iteração,Precisão Geral,Precisão Modelo
4081,0.0,0.0
4082,0.0,0.0
4083,0.0,0.0
4084,25.0,0.0
4085,20.0,0.0
4086,33.33333333333333,20.0
4087,28.57142857142857,20.0
4088,25.0,16.666666666666664
4089,22.22222222222222,14.285714285714285
4090,20.0,12.5
4091,18.181818181818183,12.5
4092,16.666666666666664,11.11111111111111
4093,23.076923076923077,20.0
4094,21.428571428571427,20.0
4095,20.0,18.181818181818183
4096,18.75,16.666666666666664
4097,17.647058823529413,15.384615384615385
4098,16.666666666666664,14.285714285714285
4099,15.789473684210526,14.285714285714285
4100,15.0,14.285714285714285
4101,14.285714285714285,13.333333333333334
4102,18.181818181818183,18.75
4103,21.73913043478261,23.52941176470588
4104,20.833333333333336,22.22222222222222
4105,20.0,22.22222222222222
4106,23.076923076923077,22.22222222222222
4107,22.22222222222222,21.052631578947366
4108,21.428571428571427,21.052631578947366
4109,20.689655172413794,20.0
4110,20.0,19.047619047619047
4111,19.35483870967742,18.181818181818183
4112,18.75,17.391304347826086
4113,21.21212121212121,20.833333333333336
4114,20.588235294117645,20.0
4115,20.0,19.230769230769234
4116,22.22222222222222,22.22222222222222
4117,24.324324324324326,22.22222222222222
4118,26.31578947368421,22.22222222222222
4119,28.205128205128204,25.0
4120,30.0,27.586206896551722
4121,29.268292682926827,26.666666666666668
4122,28.57142857142857,25.806451612903224
4123,30.23255813953488,28.125
4124,29.545454545454547,28.125
4125,31.11111111111111,30.303030303030305
4126,30.434782608695656,30.303030303030305
4127,31.914893617021278,32.35294117647059
4128,31.25,31.428571428571427
4129,30.612244897959183,31.428571428571427
4130,32.0,33.33333333333333
4131,33.33333333333333,35.13513513513514
4132,32.69230769230769,34.21052631578947
4133,33.9622641509434,34.21052631578947
4134,35.18518518518518,35.8974358974359
4135,34.54545454545455,35.8974358974359
4136,35.714285714285715,35.8974358974359
4137,36.84210526315789,37.5
4138,37.93103448275862,37.5
4139,37.28813559322034,37.5
4140,36.666666666666664,36.58536585365854
4141,36.0655737704918,36.58536585365854
4142,37.096774193548384,38.095238095238095
4143,36.507936507936506,38.095238095238095
4144,37.5,38.095238095238095
4145,36.92307692307693,37.2093023255814
4146,36.36363636363637,36.36363636363637
4147,35.82089552238806,36.36363636363637
4148,35.294117647058826,36.36363636363637
4149,36.231884057971016,36.36363636363637
4150,35.714285714285715,35.55555555555556
4151,36.61971830985916,35.55555555555556
4152,37.5,36.95652173913043
4153,36.986301369863014,36.17021276595745
4154,36.486486486486484,35.41666666666667
4155,36.0,34.69387755102041
4156,35.526315789473685,34.0
4157,35.064935064935064,34.0
4158,34.61538461538461,33.33333333333333
4159,35.44303797468354,34.61538461538461
4160,35.0,33.9622641509434
4161,34.5679012345679,33.33333333333333
4162,35.36585365853659,34.54545454545455
4163,34.93975903614458,33.92857142857143
4164,34.523809523809526,33.33333333333333
4165,34.11764705882353,32.758620689655174
4166,33.72093023255814,32.20338983050847
4167,33.33333333333333,32.20338983050847
4168,32.95454545454545,31.666666666666664
4169,32.58426966292135,31.147540983606557
4170,32.22222222222222,31.147540983606557
4171,31.868131868131865,30.64516129032258
4172,32.608695652173914,31.746031746031743
4173,32.25806451612903,31.25
4174,31.914893617021278,30.76923076923077
4175,31.57894736842105,30.76923076923077
4176,31.25,30.76923076923077
4177,30.927835051546392,30.303030303030305
4178,30.612244897959183,30.303030303030305
4179,30.303030303030305,30.303030303030305
4180,30.0,29.850746268656714
4181,29.7029702970297,29.411764705882355
4182,29.411764705882355,29.411764705882355
4183,29.126213592233007,28.985507246376812
4184,28.846153846153843,28.57142857142857
4185,29.523809523809526,28.57142857142857
4186,29.245283018867923,28.169014084507044
4187,28.971962616822427,28.169014084507044
4188,28.703703703703702,27.77777777777778
4189,29.357798165137616,27.77777777777778
4190,29.09090909090909,27.397260273972602
4191,29.72972972972973,28.37837837837838
4192,29.464285714285715,28.37837837837838
4193,29.20353982300885,28.000000000000004
4194,28.947368421052634,28.000000000000004
4195,28.695652173913043,28.000000000000004
4196,28.448275862068968,27.631578947368425
4197,28.205128205128204,27.631578947368425
4198,27.966101694915253,27.27272727272727
4199,27.73109243697479,26.923076923076923
4200,27.500000000000004,26.923076923076923
4201,27.27272727272727,26.582278481012654
4202,27.049180327868854,26.25
4203,26.82926829268293,26.25
4204,27.419354838709676,27.160493827160494
4205,28.000000000000004,28.04878048780488
4206,27.77777777777778,27.710843373493976
4207,27.559055118110237,27.710843373493976
4208,28.125,27.710843373493976
4209,27.906976744186046,27.710843373493976
4210,28.46153846153846,28.57142857142857
4211,28.24427480916031,28.235294117647058
4212,28.030303030303028,27.906976744186046
4213,27.819548872180448,27.586206896551722
4214,27.611940298507463,27.27272727272727
4215,28.14814814814815,28.08988764044944
4216,27.941176470588236,27.77777777777778
4217,27.73722627737226,27.472527472527474
4218,27.536231884057973,27.173913043478258
4219,27.33812949640288,26.881720430107524
4220,27.142857142857142,26.595744680851062
4221,27.659574468085108,27.368421052631582
4222,27.464788732394368,27.083333333333332
4223,27.27272727272727,26.804123711340207
4224,27.083333333333332,26.53061224489796
4225,26.89655172413793,26.53061224489796
4226,26.71232876712329,26.53061224489796
4227,26.53061224489796,26.53061224489796
4228,27.027027027027028,27.27272727272727
4229,26.845637583892618,27.0
4230,26.666666666666668,26.732673267326735
4231,26.490066225165563,26.47058823529412
4232,26.31578947368421,26.47058823529412
4233,26.143790849673206,26.21359223300971
4234,26.623376623376622,26.923076923076923
4235,27.09677419354839,27.61904761904762
4236,27.564102564102566,28.30188679245283
4237,28.02547770700637,28.30188679245283
4238,28.48101265822785,28.30188679245283
4239,28.930817610062892,28.971962616822427
4240,28.749999999999996,28.971962616822427
4241,28.57142857142857,28.703703703703702
4242,28.39506172839506,28.703703703703702
4243,28.834355828220858,29.357798165137616
4244,28.65853658536585,29.09090909090909
4245,28.484848484848484,29.09090909090909
4246,28.313253012048197,29.09090909090909
4247,28.143712574850298,28.82882882882883
4248,27.976190476190478,28.57142857142857
4249,28.402366863905325,29.20353982300885
4250,28.235294117647058,28.947368421052634
4251,28.654970760233915,29.565217391304348
4252,28.488372093023255,29.310344827586203
4253,28.32369942196532,29.059829059829063
4254,28.735632183908045,29.66101694915254
4255,28.57142857142857,29.411764705882355
4256,28.97727272727273,30.0
4257,28.8135593220339,29.75206611570248
4258,29.213483146067414,30.327868852459016
4259,29.05027932960894,30.081300813008134
4260,28.888888888888886,29.838709677419356
4261,28.7292817679558,29.599999999999998
4262,28.57142857142857,29.365079365079367
4263,28.415300546448087,29.365079365079367
4264,28.804347826086957,29.92125984251969
4265,29.18918918918919,29.92125984251969
4266,29.56989247311828,30.46875
4267,29.411764705882355,30.23255813953488
4268,29.25531914893617,30.23255813953488
4269,29.629629629629626,30.76923076923077
4270,29.47368421052631,30.76923076923077
4271,29.31937172774869,30.53435114503817
4272,29.166666666666668,30.303030303030305
4273,29.015544041450774,30.303030303030305
4274,28.865979381443296,30.303030303030305
4275,28.717948717948715,30.075187969924812
4276,29.081632653061224,30.075187969924812
4277,28.934010152284262,29.850746268656714
4278,28.78787878787879,29.629629629629626
4279,28.643216080402013,29.629629629629626
4280,28.499999999999996,29.411764705882355
4281,28.35820895522388,29.1970802919708
4282,28.217821782178216,28.985507246376812
4283,28.57142857142857,29.496402877697843
4284,28.431372549019606,29.496402877697843
4285,28.292682926829265,29.28571428571429
4286,28.155339805825243,29.28571428571429
4287,28.019323671497588,29.078014184397162
4288,27.884615384615387,29.078014184397162
4289,28.22966507177033,29.577464788732392
4290,28.57142857142857,30.069930069930066
4291,28.436018957345972,29.86111111111111
4292,28.77358490566038,29.86111111111111
4293,28.638497652582164,29.655172413793103
4294,28.971962616822427,29.655172413793103
4295,29.30232558139535,30.136986301369863
4296,29.166666666666668,29.931972789115648
4297,29.03225806451613,29.72972972972973
4298,28.899082568807337,29.72972972972973
4299,29.22374429223744,30.201342281879196
4300,29.545454545454547,30.666666666666664
4301,29.86425339366516,30.666666666666664
4302,30.180180180180184,31.125827814569533
4303,30.04484304932735,30.92105263157895
4304,30.357142857142854,30.92105263157895
4305,30.666666666666664,31.372549019607842
4306,30.53097345132743,31.372549019607842
4307,30.396475770925107,31.372549019607842
4308,30.701754385964914,31.372549019607842
4309,31.004366812227076,31.818181818181817
4310,30.869565217391305,31.818181818181817
4311,31.16883116883117,31.818181818181817
4312,31.03448275862069,31.61290322580645
4313,30.90128755364807,31.41025641025641
4314,31.196581196581196,31.84713375796178
4315,31.48936170212766,32.278481012658226
4316,31.35593220338983,32.278481012658226
4317,31.645569620253166,32.278481012658226
4318,31.512605042016805,32.278481012658226
4319,31.799163179916317,32.278481012658226
4320,31.666666666666664,32.075471698113205
4321,31.950207468879665,32.075471698113205
4322,31.818181818181817,31.874999999999996
4323,31.68724279835391,31.67701863354037
4324,31.967213114754102,31.67701863354037
4325,31.83673469387755,31.48148148148148
4326,32.113821138211385,31.901840490797547
4327,32.388663967611336,31.901840490797547
4328,32.25806451612903,31.70731707317073
4329,32.53012048192771,32.121212121212125
4330,32.800000000000004,32.121212121212125
4331,32.669322709163346,31.92771084337349
4332,32.53968253968254,31.736526946107784
4333,32.41106719367589,31.547619047619047
4334,32.677165354330704,31.952662721893493
4335,32.94117647058823,32.35294117647059
4336,32.8125,32.35294117647059
4337,32.68482490272373,32.16374269005848
4338,32.55813953488372,32.16374269005848
4339,32.432432432432435,32.16374269005848
4340,32.69230769230769,32.55813953488372
4341,32.56704980842912,32.369942196531795
4342,32.44274809160305,32.18390804597701
