Iteração,Precisão Geral,Precisão Modelo
12001,0.0,0.0
12002,0.0,0.0
12003,0.0,0.0
12004,0.0,0.0
12005,0.0,0.0
12006,0.0,0.0
12007,0.0,0.0
12008,0.0,0.0
12009,0.0,0.0
12010,0.0,0.0
12011,0.0,0.0
12012,0.0,0.0
12013,0.0,0.0
12014,0.0,0.0
12015,0.0,0.0
12016,0.0,0.0
12017,0.0,0.0
12018,0.0,0.0
12019,0.0,0.0
12020,0.0,0.0
12021,0.0,0.0
12022,0.0,0.0
12023,0.0,0.0
12024,0.0,0.0
12025,0.0,0.0
12026,0.0,0.0
12027,0.0,0.0
12028,0.0,0.0
12029,0.0,0.0
12030,0.0,0.0
12031,0.0,0.0
12032,0.0,0.0
12033,0.0,0.0
12034,0.0,0.0
12035,0.0,0.0
12036,0.0,0.0
12037,0.0,0.0
12038,0.0,0.0
12039,0.0,0.0
12040,0.0,0.0
12041,0.0,0.0
12042,0.0,0.0
12043,0.0,0.0
12044,0.0,0.0
12045,0.0,0.0
12046,0.0,0.0
12047,0.0,0.0
12048,0.0,0.0
12049,0.0,0.0
12050,0.0,0.0
12051,1.9607843137254901,0.0
12052,1.9230769230769231,0.0
12053,1.8867924528301887,0.0
12054,1.8518518518518516,0.0
12055,1.8181818181818181,0.0
12056,1.7857142857142856,0.0
12057,1.7543859649122806,0.0
12058,1.7241379310344827,0.0
12059,1.694915254237288,0.0
12060,1.6666666666666667,0.0
12061,1.639344262295082,0.0
12062,1.6129032258064515,0.0
12063,1.5873015873015872,0.0
12064,1.5625,0.0
12065,1.5384615384615385,0.0
12066,1.5151515151515151,0.0
12067,1.4925373134328357,0.0
12068,1.4705882352941175,0.0
12069,1.4492753623188406,0.0
12070,1.4285714285714286,0.0
12071,1.4084507042253522,0.0
12072,1.3888888888888888,0.0
12073,1.36986301369863,0.0
12074,1.3513513513513513,0.0
12075,1.3333333333333335,0.0
12076,1.3157894736842104,0.0
12077,1.2987012987012987,0.0
12078,1.282051282051282,0.0
12079,1.2658227848101267,0.0
12080,1.25,0.0
12081,1.2345679012345678,0.0
12082,1.2195121951219512,0.0
12083,1.2048192771084338,0.0
12084,1.1904761904761905,0.0
12085,1.1764705882352942,0.0
12086,1.1627906976744187,0.0
12087,1.1494252873563218,0.0
12088,1.1363636363636365,0.0
12089,1.1235955056179776,0.0
12090,1.1111111111111112,0.0
12091,1.098901098901099,0.0
12092,1.0869565217391304,0.0
12093,1.0752688172043012,0.0
12094,1.0638297872340425,0.0
12095,1.0526315789473684,0.0
12096,1.0416666666666665,0.0
12097,1.0309278350515463,0.0
12098,1.0204081632653061,0.0
12099,1.0101010101010102,0.0
12100,1.0,0.0
12101,0.9900990099009901,0.0
12102,0.9803921568627451,0.0
12103,0.9708737864077669,0.0
12104,0.9615384615384616,0.0
12105,0.9523809523809524,0.0
12106,0.9433962264150944,0.0
12107,0.9345794392523363,0.0
12108,0.9259259259259258,0.0
12109,0.9174311926605505,0.0
12110,0.9090909090909091,0.0
12111,0.9009009009009009,0.0
12112,0.8928571428571428,0.0
12113,0.8849557522123894,0.0
12114,0.8771929824561403,0.0
12115,0.8695652173913043,0.0
12116,0.8620689655172413,0.0
12117,0.8547008547008548,0.0
12118,0.847457627118644,0.0
12119,0.8403361344537815,0.0
12120,0.8333333333333334,0.0
12121,0.8264462809917356,0.0
12122,0.819672131147541,0.0
12123,0.8130081300813009,0.0
12124,0.8064516129032258,0.0
12125,0.8,0.0
12126,0.7936507936507936,0.0
12127,0.7874015748031495,0.0
12128,0.78125,0.0
12129,0.7751937984496124,0.0
12130,0.7692307692307693,0.0
12131,0.7633587786259541,0.0
12132,0.7575757575757576,0.0
12133,0.7518796992481203,0.0
12134,0.7462686567164178,0.0
12135,0.7407407407407408,0.0
12136,0.7352941176470588,0.0
12137,0.7299270072992701,0.0
12138,0.7246376811594203,0.0
12139,0.7194244604316548,0.0
12140,0.7142857142857143,0.0
12141,0.7092198581560284,0.0
12142,0.7042253521126761,0.0
12143,0.6993006993006993,0.0
12144,0.6944444444444444,0.0
12145,0.6896551724137931,0.0
12146,0.684931506849315,0.0
12147,0.6802721088435374,0.0
12148,0.6756756756756757,0.0
12149,0.6711409395973155,0.0
12150,0.6666666666666667,0.0
