Acuracia,Precisao
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,66.66666666666666
0.0,57.14285714285714
0.0,50.0
0.0,44.44444444444444
20.0,50.0
33.33333333333333,54.54545454545454
28.57142857142857,50.0
25.0,46.15384615384615
22.22222222222222,42.857142857142854
22.22222222222222,46.666666666666664
30.0,50.0
36.36363636363637,52.94117647058824
41.66666666666667,55.55555555555556
38.46153846153847,52.63157894736842
38.46153846153847,50.0
35.714285714285715,47.61904761904761
33.33333333333333,45.45454545454545
37.5,47.82608695652174
41.17647058823529,50.0
44.44444444444444,52.0
42.10526315789473,50.0
40.0,48.148148148148145
40.0,50.0
42.857142857142854,51.724137931034484
42.857142857142854,53.333333333333336
45.45454545454545,54.83870967741935
45.45454545454545,56.25
45.45454545454545,54.54545454545454
45.45454545454545,55.88235294117647
47.82608695652174,57.14285714285714
45.83333333333333,55.55555555555556
44.0,54.054054054054056
42.30769230769231,52.63157894736842
44.44444444444444,53.84615384615385
46.42857142857143,55.00000000000001
46.42857142857143,56.09756097560976
46.42857142857143,54.761904761904766
48.275862068965516,55.81395348837209
46.666666666666664,54.54545454545454
46.666666666666664,55.55555555555556
46.666666666666664,54.347826086956516
45.16129032258064,53.191489361702125
43.75,52.083333333333336
42.42424242424242,51.02040816326531
42.42424242424242,52.0
44.11764705882353,52.94117647058824
44.11764705882353,53.84615384615385
45.714285714285715,54.71698113207547
44.44444444444444,53.70370370370371
45.94594594594595,54.54545454545454
44.73684210526316,53.57142857142857
46.15384615384615,54.385964912280706
47.5,55.172413793103445
47.5,54.23728813559322
47.5,55.00000000000001
48.78048780487805,55.73770491803278
47.61904761904761,54.83870967741935
47.61904761904761,55.55555555555556
47.61904761904761,54.6875
47.61904761904761,53.84615384615385
47.61904761904761,54.54545454545454
46.51162790697674,53.73134328358209
46.51162790697674,52.94117647058824
46.51162790697674,53.62318840579711
46.51162790697674,54.285714285714285
45.45454545454545,53.52112676056338
45.45454545454545,54.166666666666664
45.45454545454545,54.794520547945204
45.45454545454545,55.4054054054054
45.45454545454545,56.00000000000001
45.45454545454545,56.57894736842105
45.45454545454545,57.14285714285714
44.44444444444444,56.41025641025641
44.44444444444444,55.69620253164557
45.65217391304348,56.25
44.680851063829785,55.55555555555556
44.680851063829785,56.09756097560976
44.680851063829785,55.42168674698795
44.680851063829785,54.761904761904766
45.83333333333333,55.294117647058826
