,Media_Apostas,Rodada
0,0.0,1.05
1,0.3333333333333333,1.56
2,0.5,2.09
3,0.6,1.59
4,0.6666666666666666,2.44
5,0.7142857142857143,2.61
6,0.625,1.32
7,0.5555555555555556,1.37
8,0.6,2.89
9,0.5454545454545454,1.21
10,0.5833333333333334,2.5
11,0.5384615384615384,1.19
12,0.5,1.0
13,0.5333333333333333,89.99
14,0.5625,2.47
15,0.5294117647058824,1.06
16,0.5,1.18
17,0.5263157894736842,1.5
18,0.55,9.89
19,0.5714285714285714,10.46
20,0.5909090909090909,8.19
21,0.6086956521739131,12.21
22,0.5833333333333334,1.17
23,0.6,8.35
24,0.6153846153846154,7.27
25,0.6296296296296297,2.31
26,0.6071428571428571,1.22
27,0.6206896551724138,3.0
28,0.6333333333333333,2.09
29,0.6451612903225806,3.17
30,0.625,1.13
31,0.6363636363636364,1.53
32,0.6470588235294118,3.77
33,0.6571428571428571,5.94
34,0.6666666666666666,1.59
35,0.6486486486486487,1.06
36,0.631578947368421,1.31
37,0.6153846153846154,1.23
38,0.6,1.18
39,0.6097560975609756,7.64
40,0.6190476190476191,1.55
41,0.627906976744186,2.9
42,0.6136363636363636,1.07
43,0.6222222222222222,2.53
44,0.6304347826086957,5.0
45,0.6382978723404256,1.99
46,0.6458333333333334,2.38
47,0.6530612244897959,31.49
48,0.66,2.1
49,0.6666666666666666,2.32
50,0.6730769230769231,1.86
51,0.6792452830188679,4.88
52,0.6851851851851852,6.18
53,0.6909090909090909,12.52
54,0.6785714285714286,1.31
55,0.6842105263157895,3.75
56,0.6896551724137931,1.68
57,0.6949152542372882,28.03
58,0.7,8.86
59,0.7049180327868853,11.65
60,0.6935483870967742,1.25
61,0.6825396825396826,1.05
62,0.671875,1.34
63,0.676923076923077,1.51
64,0.6818181818181818,1.45
65,0.6865671641791045,11.1
66,0.6911764705882353,1.61
67,0.6811594202898551,1.43
68,0.6857142857142857,2.77
69,0.6901408450704225,7.54
70,0.6944444444444444,1.95
71,0.6986301369863014,2.45
72,0.7027027027027027,4.07
73,0.7066666666666667,1.72
74,0.7105263157894737,2.75
75,0.7012987012987013,1.17
76,0.6923076923076923,1.17
77,0.6962025316455697,4.7
78,0.7,2.3
79,0.7037037037037037,3.3
80,0.6951219512195121,1.07
81,0.6987951807228916,2.76
82,0.7023809523809523,1.75
83,0.7058823529411765,1.84
84,0.7093023255813954,15.38
85,0.7126436781609196,15.41
86,0.7045454545454546,1.21
87,0.7078651685393258,3.59
88,0.7111111111111111,3.52
89,0.7142857142857143,2.1
90,0.717391304347826,4.63
91,0.7096774193548387,1.28
92,0.7021276595744681,1.2
93,0.7052631578947368,2.32
94,0.6979166666666666,1.02
95,0.7010309278350515,8.68
96,0.6938775510204082,1.22
97,0.6868686868686869,1.16
98,0.69,2.3
99,0.693069306930693,2.63
100,0.696078431372549,2.37
101,0.6990291262135923,2.19
102,0.7019230769230769,1.87
103,0.7047619047619048,2.15
104,0.7075471698113207,2.76
105,0.7102803738317757,28.03
106,0.7129629629629629,1.78
107,0.7064220183486238,1.22
108,0.7,1.39
109,0.7027027027027027,2.25
110,0.6964285714285714,1.4
111,0.6991150442477876,13.48
112,0.7017543859649122,3.26
113,0.6956521739130435,1.16
114,0.6896551724137931,1.24
115,0.6923076923076923,21.53
116,0.6949152542372882,1.5
117,0.6890756302521008,1.03
118,0.6916666666666667,1.66
119,0.6859504132231405,1.14
120,0.680327868852459,1.1
121,0.6829268292682927,64.69
122,0.6774193548387096,1.03
123,0.68,3.58
124,0.6825396825396826,2.13
125,0.6850393700787402,3.55
126,0.6875,1.46
127,0.689922480620155,2.62
128,0.6923076923076923,4.18
129,0.6870229007633588,1.04
130,0.6818181818181818,1.07
131,0.6842105263157895,1.71
132,0.6865671641791045,6.85
133,0.6814814814814815,1.15
134,0.6838235294117647,1.47
135,0.6861313868613139,2.27
136,0.6884057971014492,3.83
137,0.6906474820143885,1.52
138,0.6928571428571428,4.3
139,0.6950354609929078,3.88
140,0.6971830985915493,2.23
141,0.6923076923076923,1.08
142,0.6944444444444444,3.0
143,0.696551724137931,3.22
144,0.6986301369863014,1.55
145,0.7006802721088435,2.11
146,0.7027027027027027,8.1
147,0.7046979865771812,11.54
148,0.7066666666666667,1.84
149,0.7086092715231788,2.25
150,0.7105263157894737,2.31
151,0.7124183006535948,4.83
152,0.7142857142857143,3.04
153,0.7096774193548387,1.0
154,0.7051282051282052,1.11
155,0.7006369426751592,1.11
156,0.7025316455696202,1.78
157,0.7044025157232704,19.31
158,0.70625,43.02
159,0.7018633540372671,1.24
160,0.7037037037037037,2.8
161,0.7055214723926381,1.71
162,0.7073170731707317,3.0
163,0.7090909090909091,2.56
164,0.7108433734939759,13.56
165,0.7125748502994012,1.64
166,0.7142857142857143,6.42
