janela,acuracia,precisao,recall,f1
360,0.9700000286102295,0.9700000286102295,0.9700000286102295,0.9433961510658264
390,0.9449541568756104,0.9449541568756104,0.9449541568756104,0.8999999165534973
420,0.9322034120559692,0.9322034120559692,0.9322034120559692,0.882352888584137
450,0.8818897604942322,0.8818897604942322,0.8818897604942322,0.7945204377174377
450,0.8503937125205994,0.8503937125205994,0.8503937125205994,0.7594936490058899
450,0.960629940032959,0.960629940032959,0.960629940032959,0.9275361895561218
450,0.8897637724876404,0.8897637724876404,0.8897637724876404,0.8157894611358643
450,0.9055117964744568,0.9055117964744568,0.9055117964744568,0.8421052098274231
450,0.8897637724876404,0.8897637724876404,0.8897637724876404,0.8108107447624207
450,0.8976377844810486,0.8976377844810486,0.8976377844810486,0.8266665935516357
450,0.8818897604942322,0.8818897604942322,0.8818897604942322,0.7945204377174377
450,0.913385808467865,0.913385808467865,0.913385808467865,0.8533332347869873
450,0.9448819160461426,0.9448819160461426,0.9448819160461426,0.8985506892204285
480,0.904411792755127,0.904411792755127,0.904411792755127,0.8169013261795044
480,0.904411792755127,0.904411792755127,0.904411792755127,0.8169013261795044
480,0.875,0.875,0.875,0.7536230683326721
480,0.875,0.875,0.875,0.7733332514762878
480,0.8823529481887817,0.8823529481887817,0.8823529481887817,0.7837837934494019
480,0.904411792755127,0.904411792755127,0.904411792755127,0.8169013261795044
480,0.9264705777168274,0.9264705777168274,0.9264705777168274,0.8571428060531616
480,0.904411792755127,0.904411792755127,0.904411792755127,0.8169013261795044
480,0.9558823704719543,0.9558823704719543,0.9558823704719543,0.9090908765792847
