t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,RATING1,RATING2,RATING3,,,
117,5,1,"0,6153846154",1,"0,4786324786",1,"0,3846153846",1,"0,2735042735",0,"0,1282051282",0,"0,08547008547",0,"0,02564102564",0,"0,008547008547",1,"0,5166666667","0,5035393853",,,"0,03333333333","0,01666666667",0,"0,01666666667",,
118,"1,07",1,"0,6186440678",1,"0,4830508475",1,"0,3898305085",1,"0,2796610169",0,"0,1271186441",0,"0,08474576271",0,"0,02542372881",0,"0,008474576271",1,"0,5333333333","0,5024529992",,,"0,03333333333","0,03333333333",0,"0,01666666667","0,5333333333",
119,"6,03",0,"0,6134453782",0,"0,4789915966",0,"0,3865546218",0,"0,2773109244",0,"0,1260504202",0,"0,08403361345",0,"0,02521008403",0,"0,008403361345",0,"0,5333333333","0,5035393853",,,"0,03333333333","0,05",0,"0,01666666667",0,
120,"4,07",1,"0,6166666667",1,"0,4833333333",1,"0,3916666667",1,"0,2833333333",1,"0,1333333333",0,"0,08333333333",0,"0,025",0,"0,008333333333",1,"0,5166666667","0,5035393853",                                                    ,,0,"0,03333333333","-0,03333333333",0,0,
121,"3,01",1,"0,6198347107",1,"0,4876033058",1,"0,3966942149",1,"0,2892561983",0,"0,132231405",0,"0,0826446281",0,"0,02479338843",0,"0,00826446281",1,"0,5333333333","0,5024529992",,,"0,01666666667","0,05","-0,03333333333","0,01666666667","0,03333333333",
122,1,1,"0,6229508197",1,"0,4918032787",1,"0,4016393443",0,"0,2868852459",0,"0,131147541",0,"0,08196721311",0,"0,02459016393",0,"0,008196721311",1,"0,55","0,5008190014","-0,7412081796",,"0,03333333333","0,06666666667",0,"0,01666666667","0,03333333333",
123,"2,13",0,"0,6178861789",0,"0,487804878",0,"0,3983739837",0,"0,2845528455",0,"0,1300813008",0,"0,08130081301",0,"0,0243902439",0,"0,008130081301",0,"0,5666666667","0,5008190014","-0,7813030894","-0,04009490987","0,05","0,08333333333","0,03333333333","0,05","0,05",
124,"1,49",1,"0,6209677419",1,"0,4919354839",0,"0,3951612903",0,"0,2822580645",0,"0,1290322581",0,"0,08064516129",0,"0,02419354839",0,"0,008064516129",1,"0,55","0,5008190014","-0,7890464158","-0,007743326321","0,01666666667","0,05","0,01666666667","0,03333333333","0,03333333333",
125,"15,07",0,"0,616",0,"0,488",0,"0,392",0,"0,28",0,"0,128",0,"0,08",0,"0,024",0,"0,008",0,"0,55","0,5024529992","-0,7936343762","-0,004587960458","0,01666666667","0,05","0,03333333333","0,03333333333","0,03333333333",
126,"1,16",1,"0,619047619",1,"0,4920634921",1,"0,3968253968",1,"0,2857142857",1,"0,1349206349",1,"0,0873015873",0,"0,02380952381",0,"0,007936507937",1,"0,5333333333","0,5024529992","-0,7966806248","-0,003046248628","0,01666666667","0,01666666667","0,01666666667","0,01666666667","0,01666666667",
127,"10,5",0,"0,6141732283",0,"0,4881889764",0,"0,3937007874",0,"0,2834645669",0,"0,1338582677",0,"0,08661417323",0,"0,02362204724",0,"0,007874015748",0,"0,55","0,5024529992","-0,8037965266","-0,007115901783","0,01666666667","0,03333333333","0,03333333333","0,03333333333","0,03333333333",
128,"5,51",1,"0,6171875",1,"0,4921875",1,"0,3984375",1,"0,2890625",1,"0,140625",1,"0,09375",0,"0,0234375",0,"0,0078125",1,"0,55","0,5008190014","-0,8124504796","-0,008653952976",0,"0,03333333333","0,05","0,03333333333","0,03333333333",
129,"1,49",1,"0,6201550388",1,"0,496124031",1,"0,4031007752",1,"0,2945736434",0,"0,1395348837",0,"0,09302325581",0,"0,02325581395",0,"0,007751937984",1,"0,5666666667","0,4986320084","-0,8155855815","-0,003135101886",0,"0,05","0,06666666667","0,05","0,06666666667",
130,"1,02",0,"0,6153846154",0,"0,4923076923",0,"0,4",0,"0,2923076923",0,"0,1384615385",0,"0,09230769231",0,"0,02307692308",0,"0,007692307692",0,"0,5833333333","0,4986320084","-0,8420386543","-0,02645307284","0,03333333333","0,05","0,08333333333","0,05","0,08333333333","0,5833333333"
131,"84,47",0,"0,6106870229",0,"0,4885496183",0,"0,3969465649",0,"0,2900763359",0,"0,1374045802",0,"0,09160305344",0,"0,02290076336",0,"0,007633587786",0,"0,5833333333","0,4986320084","-0,8618188999","-0,01978024552","0,03333333333","0,05","0,1","0,05","0,08333333333","0,05"
132,"1,82",1,"0,6136363636",1,"0,4924242424",1,"0,4015151515",1,"0,2954545455",1,"0,1439393939",1,"0,09848484848",1,"0,0303030303",1,"0,01515151515",1,"0,5833333333","0,4958847037","-0,8533423693","0,008476530531","0,05","0,06666666667","0,1","0,03333333333","0,1","0,06666666667"
