,Acertos_Reais_CTG,Acertos_Reais_PCT,Acertos_Predicao_CTG,Acertos_Predicao_PCT,Acertos1_Predicao,Acerto1_Predicao_PCT
0,51,0.425,59,0.49166666666666664,59,0.49166666666666664
1,57,0.475,63,0.525,63,0.525
2,58,0.48333333333333334,56,0.4666666666666667,56,0.4666666666666667
