janela,acuracia,precisao,recall,f1
360,0.9800000190734863,0.9800000190734863,0.9800000190734863,0.967741847038269
390,0.9082568883895874,0.9082568883895874,0.9082568883895874,0.8611111044883728
420,0.9067796468734741,0.9067796468734741,0.9067796468734741,0.8493149876594543
450,0.913385808467865,0.913385808467865,0.913385808467865,0.8735631704330444
480,0.845588207244873,0.845588207244873,0.845588207244873,0.7640448808670044
510,0.9172413945198059,0.9172413945198059,0.9172413945198059,0.8571427464485168
540,0.9350649118423462,0.9350649118423462,0.9350649118423462,0.883720874786377
570,0.9263803958892822,0.9263803958892822,0.9263803958892822,0.8666666746139526
600,0.9534883499145508,0.9534883499145508,0.9534883499145508,0.9183672666549683
630,0.950276255607605,0.950276255607605,0.950276255607605,0.9142856597900391
660,0.942105233669281,0.942105233669281,0.942105233669281,0.9009008407592773
690,0.9447236061096191,0.9447236061096191,0.9447236061096191,0.9090908765792847
720,0.9230769276618958,0.9230769276618958,0.9230769276618958,0.873015820980072
750,0.9723502397537231,0.9723502397537231,0.9723502397537231,0.955223798751831
780,0.9292035102844238,0.9292035102844238,0.9292035102844238,0.8961039185523987
810,0.9489361643791199,0.9489361643791199,0.9489361643791199,0.9259258508682251
840,0.938524603843689,0.938524603843689,0.938524603843689,0.9056603312492371
870,0.95652174949646,0.95652174949646,0.95652174949646,0.9325153231620789
900,0.9389312863349915,0.9389312863349915,0.9389312863349915,0.9036144018173218
930,0.9151291251182556,0.9151291251182556,0.9151291251182556,0.8700564503669739
960,0.9142857193946838,0.9142857193946838,0.9142857193946838,0.8681318163871765
990,0.9204152226448059,0.9204152226448059,0.9204152226448059,0.879581093788147
1020,0.8724831938743591,0.8724831938743591,0.8724831938743591,0.8224298357963562
1020,0.8724831938743591,0.8724831938743591,0.8724831938743591,0.8190475702285767
1020,0.9429529905319214,0.9429529905319214,0.9429529905319214,0.919431209564209
1050,0.9022801518440247,0.9022801518440247,0.9022801518440247,0.8598130345344543
