,Odd,Odd_Categoria,odd_entrada
264,4.43,9,9.0
265,1.11,2,9.0
266,2.17,7,2.0
267,1.08,2,7.0
268,1.38,4,2.0
269,2.51,7,4.0
270,6.33,10,7.0
271,1.58,5,10.0
272,3.14,8,5.0
273,3.84,9,8.0
274,1.06,2,9.0
275,1.31,4,2.0
276,3.76,9,4.0
277,2.5,7,9.0
278,1.36,4,7.0
279,1.7,6,4.0
280,2.15,7,6.0
281,10.09,11,7.0
282,2.0,6,11.0
283,29.47,11,6.0
284,1.04,1,11.0
285,1.12,2,1.0
286,4.43,9,2.0
287,1.63,5,9.0
288,2.0,6,5.0
289,2.63,8,6.0
290,2.63,8,8.0
291,1.86,6,8.0
292,16.05,11,6.0
293,6.73,10,11.0
294,1.53,5,10.0
295,6.26,10,5.0
296,1.01,1,10.0
297,17.84,11,1.0
298,1.54,5,11.0
299,4.25,9,5.0
300,9.02,10,9.0
301,9.4,10,10.0
302,2.2,7,10.0
303,2.52,7,7.0
304,5.32,10,7.0
305,1.02,1,10.0
306,15.76,11,1.0
307,1.37,4,11.0
308,3.54,9,4.0
309,1.61,5,9.0
310,1.78,6,5.0
311,1.06,2,6.0
312,1.04,1,2.0
313,3.77,9,1.0
314,21.24,11,9.0
315,1.52,5,11.0
316,2.3,7,5.0
317,4.24,9,7.0
318,1.88,6,9.0
319,1.39,4,6.0
320,1.62,5,4.0
321,2.06,6,5.0
322,0.0,1,6.0
323,1.5,5,1.0
324,76.29,11,5.0
325,1.01,1,11.0
326,1.33,4,1.0
327,1.65,5,4.0
328,4.57,9,5.0
329,18.35,11,9.0
330,2.31,7,11.0
331,1.18,3,7.0
332,1.61,5,3.0
333,9.66,10,5.0
334,1.25,3,10.0
335,1.11,2,3.0
336,1.93,6,2.0
337,2.46,7,6.0
338,1.06,2,7.0
339,2.99,8,2.0
340,1.52,5,8.0
341,3.96,9,5.0
342,1.39,4,9.0
343,2.82,8,4.0
344,1.83,6,8.0
345,1.08,2,6.0
346,1.13,2,2.0
347,4.86,9,2.0
348,1.09,2,9.0
349,1.74,6,2.0
350,2.27,7,6.0
351,1.52,5,7.0
352,1.25,3,5.0
353,1.87,6,3.0
354,4.76,9,6.0
355,1.05,2,9.0
356,2.27,7,2.0
357,1.57,5,7.0
358,12.15,11,5.0
359,2.11,7,11.0
360,1.96,6,7.0
361,1.56,5,6.0
362,1.4,4,5.0
363,5.47,10,4.0
364,8.48,10,10.0
365,1.09,2,10.0
366,2.63,8,2.0
367,1.24,3,8.0
368,4.54,9,3.0
369,1.31,4,9.0
370,1.04,1,4.0
371,7.8,10,1.0
372,6.66,10,10.0
373,46.13,11,10.0
374,2.4,7,11.0
375,3.73,9,7.0
376,2.07,6,9.0
377,1.11,2,6.0
378,1.29,3,2.0
379,2.25,7,3.0
380,1.94,6,7.0
381,11.21,11,6.0
382,5.25,10,11.0
383,1.13,2,10.0
384,1.33,4,2.0
385,2.05,6,4.0
386,12.27,11,6.0
387,3.91,9,11.0
388,3.29,8,9.0
389,2.2,7,8.0
390,1.06,2,7.0
391,2.0,6,2.0
392,4.48,9,6.0
393,223.55,11,9.0
394,1.07,2,11.0
395,2.24,7,2.0
396,1.96,6,7.0
397,1.05,2,6.0
398,1.22,3,2.0
399,1.87,6,3.0
400,1.1,2,6.0
401,1.12,2,2.0
402,2.05,6,2.0
403,3.36,8,6.0
404,1.45,5,8.0
405,5.04,10,5.0
406,1.6,5,10.0
407,1.74,6,5.0
408,1.06,2,6.0
409,2.92,8,2.0
410,2.02,6,8.0
411,1.23,3,6.0
412,2.57,7,3.0
413,4.72,9,7.0
414,6.03,10,9.0
415,1.5,5,10.0
416,2.29,7,5.0
417,2.16,7,7.0
418,13.53,11,7.0
419,4.11,9,11.0
420,2.66,8,9.0
421,8.28,10,8.0
422,1.11,2,10.0
423,12.15,11,2.0
424,5.55,10,11.0
425,1.13,2,10.0
426,4.14,9,2.0
427,1.07,2,9.0
428,1.44,4,2.0
429,1.27,3,4.0
430,1.01,1,3.0
431,2.43,7,1.0
432,1.35,4,7.0
433,1.25,3,4.0
434,1.13,2,3.0
435,1.41,4,2.0
436,1.61,5,4.0
437,4.64,9,5.0
438,1.03,1,9.0
439,436.14,11,1.0
440,1.21,3,11.0
441,1.34,4,3.0
442,1.11,2,4.0
443,2.27,7,2.0
444,5.08,10,7.0
445,1.32,4,10.0
446,1.05,2,4.0
447,4.16,9,2.0
448,21.27,11,9.0
449,4.32,9,11.0
450,1.2,3,9.0
451,1.72,6,3.0
452,1.4,4,6.0
453,3.61,9,4.0
454,1.04,1,9.0
455,1.01,1,1.0
456,1.08,2,1.0
457,24.83,11,2.0
458,1.02,1,11.0
459,6.15,10,1.0
460,1.34,4,10.0
461,1.06,2,4.0
462,1.48,5,2.0
463,2.82,8,5.0
464,85.38,11,8.0
465,1.84,6,11.0
466,1.41,4,6.0
467,1.03,1,4.0
468,8.19,10,1.0
469,10.41,11,10.0
470,1.28,3,11.0
471,4.38,9,3.0
472,1.39,4,9.0
473,8.26,10,4.0
474,23.8,11,10.0
475,3.14,8,11.0
476,2.42,7,8.0
477,1.66,5,7.0
478,1.1,2,5.0
479,2.28,7,2.0
480,2.95,8,7.0
481,1.24,3,8.0
482,1.48,5,3.0
483,1.61,5,5.0
484,4.42,9,5.0
485,31.16,11,9.0
486,1.24,3,11.0
487,4.27,9,3.0
488,1.58,5,9.0
489,1.43,4,5.0
490,11.71,11,4.0
491,1.62,5,11.0
492,13.84,11,5.0
493,1.07,2,11.0
494,1.55,5,2.0
495,2.57,7,5.0
496,1.77,6,7.0
497,1.4,4,6.0
498,1.68,5,4.0
499,1.24,3,5.0
500,1.95,6,3.0
501,1.09,2,6.0
502,7.53,10,2.0
503,23.25,11,10.0
504,1.51,5,11.0
505,1.93,6,5.0
506,2.72,8,6.0
507,1.02,1,8.0
508,2.94,8,1.0
509,4.17,9,8.0
510,3.86,9,9.0
511,1.65,5,9.0
512,4.93,9,5.0
513,1.65,5,9.0
514,6.73,10,5.0
515,6.94,10,10.0
516,2.8,8,10.0
517,1.46,5,8.0
518,2.99,8,5.0
519,5.02,10,8.0
520,4.39,9,10.0
521,1.94,6,9.0
522,41.09,11,6.0
523,5.02,10,11.0
524,1.21,3,10.0
525,3.15,8,3.0
526,6.55,10,8.0
527,2.02,6,10.0
528,3.0,8,6.0
529,6.72,10,8.0
530,5.97,10,10.0
531,1.1,2,10.0
532,17.42,11,2.0
533,1.09,2,11.0
534,1.55,5,2.0
535,2.61,8,5.0
536,1.19,3,8.0
537,1.07,2,3.0
538,1.02,1,2.0
539,5.49,10,1.0
540,1.03,1,10.0
541,2.23,7,1.0
542,1.07,2,7.0
543,1.33,4,2.0
544,1.39,4,4.0
545,2.75,8,4.0
546,1.03,1,8.0
547,1.71,6,1.0
548,2.07,6,6.0
549,1.02,1,6.0
550,4.46,9,1.0
551,1.51,5,9.0
552,17.04,11,5.0
553,2.63,8,11.0
554,1.2,3,8.0
555,1.12,2,3.0
556,1.33,4,2.0
557,9.93,10,4.0
558,1.25,3,10.0
559,5.81,10,3.0
560,1.38,4,10.0
561,2.34,7,4.0
562,2.19,7,7.0
563,1.2,3,7.0
564,7.45,10,3.0
565,1.29,3,10.0
566,1.16,3,3.0
567,3.3,8,3.0
568,1.73,6,8.0
569,1.14,2,6.0
570,1.63,5,2.0
571,1.06,2,5.0
572,1.09,2,2.0
573,6.62,10,2.0
574,8.43,10,10.0
575,1.05,2,10.0
576,2.16,7,2.0
577,1.01,1,7.0
578,2.21,7,1.0
579,3.43,8,7.0
580,3.44,8,8.0
581,3.62,9,8.0
582,1.13,2,9.0
583,1.04,1,2.0
584,6.51,10,1.0
585,8.64,10,10.0
586,1.06,2,10.0
587,2.63,8,2.0
588,10.24,11,8.0
589,1.12,2,11.0
590,1.02,1,2.0
591,14.02,11,1.0
592,8.29,10,11.0
593,1.81,6,10.0
594,9.78,10,6.0
595,22.14,11,10.0
596,3.19,8,11.0
597,1.05,2,8.0
