,Odd,Odd_Categoria,odd_entrada
264,6.09,10,8.0
265,9.4,10,10.0
266,15.53,11,10.0
267,2.39,7,11.0
268,16.92,11,7.0
269,9.53,10,11.0
270,79.03,11,10.0
271,1.14,2,11.0
272,3.09,8,2.0
273,3.36,8,8.0
274,1.89,6,8.0
275,2.67,8,6.0
276,1.91,6,8.0
277,1.17,3,6.0
278,10.14,11,3.0
279,3.01,8,11.0
280,1.09,2,8.0
281,9.64,10,2.0
282,8.01,10,10.0
283,1.92,6,10.0
284,2.92,8,6.0
285,1.18,3,8.0
286,13.0,11,3.0
287,21.97,11,11.0
288,1.63,5,11.0
289,343.5,11,5.0
290,1.22,3,11.0
291,1.89,6,3.0
292,1.59,5,6.0
293,22.7,11,5.0
294,1.43,4,11.0
295,1.4,4,4.0
296,1.1,2,4.0
297,1.15,3,2.0
298,1.36,4,3.0
299,1.06,2,4.0
300,15.55,11,2.0
301,3.23,8,11.0
302,1.21,3,8.0
303,1.35,4,3.0
304,1.19,3,4.0
305,3.01,8,3.0
306,2.91,8,8.0
307,2.36,7,8.0
308,1.57,5,7.0
309,1.7,6,5.0
310,1.27,3,6.0
311,1.84,6,3.0
312,1.22,3,6.0
313,1.96,6,3.0
314,11.96,11,6.0
315,4.16,9,11.0
316,0.0,1,9.0
317,1.05,2,1.0
318,1.66,5,2.0
319,3.96,9,5.0
320,1.1,2,9.0
321,1.98,6,2.0
322,2.23,7,6.0
323,1.04,1,7.0
324,1.5,5,1.0
325,2.2,7,5.0
326,1.45,5,7.0
327,1.54,5,5.0
328,1.81,6,5.0
329,8.69,10,6.0
330,2.18,7,10.0
331,10.04,11,7.0
332,1.52,5,11.0
333,6.41,10,5.0
334,4.6,9,10.0
335,3.69,9,9.0
336,20.02,11,9.0
337,0.0,1,11.0
338,2.46,7,1.0
339,4.53,9,7.0
340,177.34,11,9.0
341,1.27,3,11.0
342,1.18,3,3.0
343,1.68,5,3.0
344,47.65,11,5.0
345,1.08,2,11.0
346,1.15,3,2.0
347,1.12,2,3.0
348,8.59,10,2.0
349,5.45,10,10.0
350,3.56,9,10.0
351,2.08,6,9.0
352,1.21,3,6.0
353,1.03,1,3.0
354,1.15,3,1.0
355,3.04,8,3.0
356,2.08,6,8.0
357,1.26,3,6.0
358,2.38,7,3.0
359,17.5,11,7.0
360,1.45,5,11.0
361,4.53,9,5.0
362,21.52,11,9.0
363,25.34,11,11.0
364,1.52,5,11.0
365,1.54,5,5.0
366,2.05,6,5.0
367,2.86,8,6.0
368,1.21,3,8.0
369,1.59,5,3.0
370,39.22,11,5.0
371,8.9,10,11.0
372,4.07,9,10.0
373,3.53,9,9.0
374,2.48,7,9.0
375,2.39,7,7.0
376,2.1,7,7.0
377,1.19,3,7.0
378,1.79,6,3.0
379,1.97,6,6.0
380,1.19,3,6.0
381,1.12,2,3.0
382,18.22,11,2.0
383,1.38,4,11.0
384,1.98,6,4.0
385,1.42,4,6.0
386,3.68,9,4.0
387,1.37,4,9.0
388,371.55,11,4.0
389,12.37,11,11.0
390,4.9,9,11.0
391,8.12,10,9.0
392,5.36,10,10.0
393,1.72,6,10.0
394,2.04,6,6.0
395,1.05,2,6.0
396,1.27,3,2.0
397,4.07,9,3.0
398,2.37,7,9.0
399,3.16,8,7.0
400,4.59,9,8.0
401,1.21,3,9.0
402,1.01,1,3.0
403,3.27,8,1.0
404,1.32,4,8.0
405,5.69,10,4.0
406,1.74,6,10.0
407,1.1,2,6.0
408,23.75,11,2.0
409,1.66,5,11.0
410,1.06,2,5.0
411,1.21,3,2.0
412,2.15,7,3.0
413,3.46,8,7.0
414,3.39,8,8.0
415,5.03,10,8.0
416,1.35,4,10.0
417,1.65,5,4.0
418,114.61,11,5.0
419,4.2,9,11.0
420,1.42,4,9.0
421,2.22,7,4.0
422,4.56,9,7.0
423,2.51,7,9.0
424,15.94,11,7.0
425,12.42,11,11.0
426,23.56,11,11.0
427,2.2,7,11.0
428,1.18,3,7.0
429,3.37,8,3.0
430,2.83,8,8.0
431,1.21,3,8.0
432,2.09,6,3.0
433,1.52,5,6.0
434,3.99,9,5.0
435,1.11,2,9.0
436,3.76,9,2.0
437,2.75,8,9.0
438,8.08,10,8.0
439,1.3,4,10.0
440,1.98,6,4.0
441,1.37,4,6.0
442,1.79,6,4.0
443,1.95,6,6.0
444,1.08,2,6.0
445,1.14,2,2.0
446,1.14,2,2.0
447,1.94,6,2.0
448,1.1,2,6.0
449,1.58,5,2.0
450,2.35,7,5.0
451,2.57,7,7.0
452,7.52,10,7.0
453,2.61,8,10.0
454,5.43,10,8.0
455,2.42,7,10.0
456,3.8,9,7.0
457,3.19,8,9.0
458,6.39,10,8.0
459,3.38,8,10.0
460,1.69,5,8.0
461,1.86,6,5.0
462,235.37,11,6.0
463,277.46,11,11.0
464,1.28,3,11.0
465,1.45,5,3.0
466,30.13,11,5.0
467,4.16,9,11.0
468,1.37,4,9.0
469,1.49,5,4.0
470,1.86,6,5.0
471,1.14,2,6.0
472,1.93,6,2.0
473,4.48,9,6.0
474,3.58,9,9.0
475,4.73,9,9.0
476,1.2,3,9.0
477,1.13,2,3.0
478,1.02,1,2.0
479,1.14,2,1.0
480,2.8,8,2.0
481,1.96,6,8.0
482,1.1,2,6.0
483,2.74,8,2.0
484,2.44,7,8.0
485,2.26,7,7.0
486,1.03,1,7.0
487,1.27,3,1.0
488,1.07,2,3.0
489,1.61,5,2.0
490,21.18,11,5.0
491,3.49,8,11.0
492,5.62,10,8.0
493,3.66,9,10.0
494,1.48,5,9.0
495,45.67,11,5.0
496,1.01,1,11.0
497,1.44,4,1.0
498,1.73,6,4.0
499,3.48,8,6.0
500,6.56,10,8.0
501,1.4,4,10.0
502,2.24,7,4.0
503,5.77,10,7.0
504,2.92,8,10.0
505,1.32,4,8.0
506,1.89,6,4.0
507,1.03,1,6.0
508,1.66,5,1.0
509,1.29,3,5.0
510,1.32,4,3.0
511,11.53,11,4.0
512,1.41,4,11.0
513,1.24,3,4.0
514,23.56,11,3.0
515,1.07,2,11.0
516,2.23,7,2.0
517,1.72,6,7.0
518,12.28,11,6.0
519,1.4,4,11.0
520,2.42,7,4.0
521,13.9,11,7.0
522,3.64,9,11.0
523,2.63,8,9.0
524,1.33,4,8.0
525,5.06,10,4.0
526,2.55,7,10.0
527,1.31,4,7.0
528,1.06,2,4.0
529,8.75,10,2.0
530,1.65,5,10.0
531,4.13,9,5.0
532,1.56,5,9.0
533,1.03,1,5.0
534,1.3,4,1.0
535,2.1,7,4.0
536,1.55,5,7.0
537,1.06,2,5.0
538,1.96,6,2.0
539,3.21,8,6.0
540,3.13,8,8.0
541,1.69,5,8.0
542,12.58,11,5.0
543,4.16,9,11.0
544,1.51,5,9.0
545,12.01,11,5.0
546,2.63,8,11.0
547,1.3,4,8.0
548,8.68,10,4.0
549,1.19,3,10.0
550,1.01,1,3.0
551,7.01,10,1.0
552,1.38,4,10.0
553,2.35,7,4.0
554,1.55,5,7.0
555,2.19,7,5.0
556,3.09,8,7.0
557,1.87,6,8.0
558,1.01,1,6.0
559,2.9,8,1.0
560,1.2,3,8.0
561,9.83,10,3.0
562,1.18,3,10.0
563,2.32,7,3.0
564,30.93,11,7.0
565,1.81,6,11.0
566,1.29,3,6.0
567,6.03,10,3.0
568,1.55,5,10.0
569,2.17,7,5.0
570,2.77,8,7.0
571,2.82,8,8.0
572,2.28,7,8.0
573,8.67,10,7.0
574,8.55,10,10.0
575,1.28,3,10.0
576,1.09,2,3.0
577,7.25,10,2.0
578,1.19,3,10.0
579,15.34,11,3.0
580,1.23,3,11.0
581,10.04,11,3.0
582,4.76,9,11.0
583,1.75,6,9.0
584,1.88,6,6.0
585,3.3,8,6.0
586,2.97,8,8.0
587,2.37,7,8.0
588,1.03,1,7.0
589,3.31,8,1.0
590,6.26,10,8.0
591,4.03,9,10.0
592,6.21,10,9.0
593,1.01,1,10.0
594,2.76,8,1.0
595,2.49,7,8.0
