t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON
0,"2,63",0,,0,,0,,0,,0,,0,,0,,0,,1,,,,
1,"7,68",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
2,"3,26",1,1,1,1,1,"0,5",1,"0,5",1,"0,5",0,0,0,0,0,0,1,,,,
3,"1,51",1,1,1,1,1,"0,6666666667",0,"0,3333333333",0,"0,3333333333",0,0,0,0,0,0,1,,,,
4,"6,37",0,"0,75",0,"0,75",0,"0,5",0,"0,25",0,"0,25",0,0,0,0,0,0,0,,,,
5,"2,86",1,"0,8",1,"0,8",1,"0,6",1,"0,4",1,"0,4",0,0,0,0,0,0,1,,,,
6,"4,54",1,"0,8333333333",1,"0,8333333333",1,"0,6666666667",0,"0,3333333333",0,"0,3333333333",0,0,0,0,0,0,1,,,,
7,"2,88",1,"0,8571428571",1,"0,8571428571",1,"0,7142857143",1,"0,4285714286",0,"0,2857142857",0,0,0,0,0,0,1,,,,
8,2,1,"0,875",1,"0,875",1,"0,75",0,"0,375",0,"0,25",0,0,0,0,0,0,1,,,,
9,"7,54",1,"0,8888888889",0,"0,7777777778",0,"0,6666666667",0,"0,3333333333",0,"0,2222222222",0,0,0,0,0,0,1,,,,
10,"1,72",1,"0,9",1,"0,8",1,"0,7",1,"0,4",1,"0,3",0,0,0,0,0,0,1,,,,
11,"1,02",0,"0,8181818182",0,"0,7272727273",0,"0,6363636364",0,"0,3636363636",0,"0,2727272727",0,0,0,0,0,0,0,,,,
12,"26,43",0,"0,75",0,"0,6666666667",0,"0,5833333333",0,"0,3333333333",0,"0,25",0,0,0,0,0,0,0,,,,
13,"2,68",1,"0,7692307692",1,"0,6923076923",1,"0,6153846154",1,"0,3846153846",1,"0,3076923077",1,"0,07692307692",1,"0,07692307692",0,0,1,,,,
14,"1,58",1,"0,7857142857",1,"0,7142857143",0,"0,5714285714",0,"0,3571428571",0,"0,2857142857",0,"0,07142857143",0,"0,07142857143",0,0,1,,,,
15,"1,65",0,"0,7333333333",0,"0,6666666667",0,"0,5333333333",0,"0,3333333333",0,"0,2666666667",0,"0,06666666667",0,"0,06666666667",0,0,0,,,,
16,"1,46",0,"0,6875",0,"0,625",0,"0,5",0,"0,3125",0,"0,25",0,"0,0625",0,"0,0625",0,0,0,,,,
17,"1,93",0,"0,6470588235",0,"0,5882352941",0,"0,4705882353",0,"0,2941176471",0,"0,2352941176",0,"0,05882352941",0,"0,05882352941",0,0,0,,,,
18,"1,41",1,"0,6666666667",0,"0,5555555556",0,"0,4444444444",0,"0,2777777778",0,"0,2222222222",0,"0,05555555556",0,"0,05555555556",0,0,0,,,,
19,"2,34",0,"0,6315789474",0,"0,5263157895",0,"0,4210526316",0,"0,2631578947",0,"0,2105263158",0,"0,05263157895",0,"0,05263157895",0,0,0,,,,
20,"1,05",1,"0,65",1,"0,55",0,"0,4",0,"0,25",0,"0,2",0,"0,05",0,"0,05",0,0,1,,,,
21,"2,46",0,"0,619047619",0,"0,5238095238",0,"0,380952381",0,"0,2380952381",0,"0,1904761905",0,"0,04761904762",0,"0,04761904762",0,0,0,,,,
22,"3,59",1,"0,6363636364",1,"0,5454545455",0,"0,3636363636",0,"0,2272727273",0,"0,1818181818",0,"0,04545454545",0,"0,04545454545",0,0,1,,,,
23,"1,23",1,"0,652173913",1,"0,5652173913",1,"0,3913043478",0,"0,2173913043",0,"0,1739130435",0,"0,04347826087",0,"0,04347826087",0,0,1,,,,
24,"2,52",0,"0,625",0,"0,5416666667",0,"0,375",0,"0,2083333333",0,"0,1666666667",0,"0,04166666667",0,"0,04166666667",0,0,0,,,,
25,"6,41",1,"0,64",1,"0,56",0,"0,36",0,"0,2",0,"0,16",0,"0,04",0,"0,04",0,0,1,,,,
26,"1,25",1,"0,6538461538",1,"0,5769230769",1,"0,3846153846",1,"0,2307692308",1,"0,1923076923",0,"0,03846153846",0,"0,03846153846",0,0,1,,,,
27,"1,42",0,"0,6296296296",0,"0,5555555556",0,"0,3703703704",0,"0,2222222222",0,"0,1851851852",0,"0,03703703704",0,"0,03703703704",0,0,0,,,,
28,"1,96",0,"0,6071428571",0,"0,5357142857",0,"0,3571428571",0,"0,2142857143",0,"0,1785714286",0,"0,03571428571",0,"0,03571428571",0,0,0,,,,
29,"1,93",1,"0,6206896552",0,"0,5172413793",0,"0,3448275862",0,"0,2068965517",0,"0,1724137931",0,"0,03448275862",0,"0,03448275862",0,0,0,,,,
30,"1,53",1,"0,6333333333",0,"0,5",0,"0,3333333333",0,"0,2",0,"0,1666666667",0,"0,03333333333",0,"0,03333333333",0,0,0,,,,
31,"19,95",0,"0,6129032258",0,"0,4838709677",0,"0,3225806452",0,"0,1935483871",0,"0,1612903226",0,"0,03225806452",0,"0,03225806452",0,0,0,,,,
32,"1,3",1,"0,625",1,"0,5",1,"0,34375",1,"0,21875",1,"0,1875",1,"0,0625",0,"0,03125",0,0,1,,,,
33,"1,41",0,"0,6060606061",0,"0,4848484848",0,"0,3333333333",0,"0,2121212121",0,"0,1818181818",0,"0,06060606061",0,"0,0303030303",0,0,0,,,,
34,"5,85",0,"0,5882352941",0,"0,4705882353",0,"0,3235294118",0,"0,2058823529",0,"0,1764705882",0,"0,05882352941",0,"0,02941176471",0,0,0,,,,
35,"3,71",1,"0,6",1,"0,4857142857",1,"0,3428571429",1,"0,2285714286",0,"0,1714285714",0,"0,05714285714",0,"0,02857142857",0,0,1,,,,
36,"2,52",1,"0,6111111111",1,"0,5",1,"0,3611111111",1,"0,25",0,"0,1666666667",0,"0,05555555556",0,"0,02777777778",0,0,1,,,,
37,"1,38",1,"0,6216216216",1,"0,5135135135",0,"0,3513513514",0,"0,2432432432",0,"0,1621621622",0,"0,05405405405",0,"0,02702702703",0,0,1,,,,
