t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
0,1,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,,,,,
1,"8,41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,"1,88",1,"0,5",1,"0,5",1,"0,5",1,"0,5",1,"0,5",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
3,"1,06",1,"0,6666666667",0,"0,3333333333",0,"0,3333333333",0,"0,3333333333",0,"0,3333333333",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
4,"2,11",0,"0,5",0,"0,25",0,"0,25",0,"0,25",0,"0,25",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
5,"2,91",1,"0,6",0,"0,2",0,"0,2",0,"0,2",0,"0,2",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
6,"1,68",1,"0,6666666667",1,"0,3333333333",1,"0,3333333333",0,"0,1666666667",0,"0,1666666667",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
7,"1,67",0,"0,5714285714",0,"0,2857142857",0,"0,2857142857",0,"0,1428571429",0,"0,1428571429",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
8,"7,78",0,"0,5",0,"0,25",0,"0,25",0,"0,125",0,"0,125",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,"3,45",1,"0,5555555556",1,"0,3333333333",1,"0,3333333333",1,"0,2222222222",1,"0,2222222222",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
10,"1,71",1,"0,6",1,"0,4",1,"0,4",0,"0,2",0,"0,2",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
11,"5,74",0,"0,5454545455",0,"0,3636363636",0,"0,3636363636",0,"0,1818181818",0,"0,1818181818",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
12,"7,27",1,"0,5833333333",1,"0,4166666667",1,"0,4166666667",1,"0,25",0,"0,1666666667",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
13,"1,03",1,"0,6153846154",1,"0,4615384615",1,"0,4615384615",1,"0,3076923077",1,"0,2307692308",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
14,"1,56",0,"0,5714285714",0,"0,4285714286",0,"0,4285714286",0,"0,2857142857",0,"0,2142857143",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
15,"3,07",0,"0,5333333333",0,"0,4",0,"0,4",0,"0,2666666667",0,"0,2",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
16,"6,39",1,"0,5625",1,"0,4375",1,"0,4375",0,"0,25",0,"0,1875",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
17,"1,95",1,"0,5882352941",1,"0,4705882353",1,"0,4705882353",1,"0,2941176471",1,"0,2352941176",0,0,0,0,0,0,1,,,,,,,,,,,,,,,,
18,"34,36",1,"0,6111111111",0,"0,4444444444",0,"0,4444444444",0,"0,2777777778",0,"0,2222222222",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
19,"7,8",1,"0,6315789474",1,"0,4736842105",1,"0,4736842105",1,"0,3157894737",1,"0,2631578947",1,"0,05263157895",1,"0,05263157895",0,0,1,,,,,,,,,,,,,,,,
20,"1,02",1,"0,65",1,"0,5",1,"0,5",1,"0,35",1,"0,3",0,"0,05",0,"0,05",0,0,1,,,,,,,,,,,,,,,,
21,"1,02",0,"0,619047619",0,"0,4761904762",0,"0,4761904762",0,"0,3333333333",0,"0,2857142857",0,"0,04761904762",0,"0,04761904762",0,0,0,,,,,,,,,,,,,,,,
22,"5,65",0,"0,5909090909",0,"0,4545454545",0,"0,4545454545",0,"0,3181818182",0,"0,2727272727",0,"0,04545454545",0,"0,04545454545",0,0,0,,,,,,,,,,,,,,,,
23,"1,72",1,"0,6086956522",1,"0,4782608696",1,"0,4782608696",1,"0,347826087",0,"0,2608695652",0,"0,04347826087",0,"0,04347826087",0,0,1,,,,,,,,,,,,,,,,
24,"11,46",0,"0,5833333333",0,"0,4583333333",0,"0,4583333333",0,"0,3333333333",0,"0,25",0,"0,04166666667",0,"0,04166666667",0,0,0,,,,,,,,,,,,,,,,
