t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
510,1,0,"0,5490196078",0,"0,4470588235",0,"0,3549019608",0,"0,2588235294",0,"0,1725490196",0,"0,08823529412",0,"0,0431372549",0,"0,009803921569",0,"0,4666666667","0,5024529992",0,0,"0,7978206187","-0,003101752409","-0,1215354675","-0,001894651975","0,08468541145","0,00007719841994","-0,06666666667","-0,01666666667","-0,05","-0,03333333333","0,03333333333","0,01666666667"
511,"1,18",0,"0,5479452055",0,"0,446183953",0,"0,3542074364",0,"0,2583170254",0,"0,1722113503",0,"0,08806262231",0,"0,04305283757",0,"0,009784735812",0,"0,4666666667","0,5024529992",0,1,"0,7953509671","-0,002469651613","-0,1301474625","-0,00202006629","0,07168896326","0,00006490281688","-0,05","-0,01666666667","-0,03333333333","-0,03333333333","0,03333333333","0,03333333333"
512,"38,34",0,"0,546875",0,"0,4453125",0,"0,353515625",0,"0,2578125",0,"0,171875",0,"0,087890625",0,"0,04296875",0,"0,009765625",0,"0,45","0,5008190014",1,1,"0,7945280792","-0,0008228879535","-0,09613538247","-0,001473618203","0,1025189914","0,00009251260841","-0,05","-0,03333333333","-0,03333333333","-0,05","0,01666666667","0,01666666667"
513,"3,55",1,"0,5477582846",1,"0,4463937622",1,"0,3547758285",1,"0,2592592593",1,"0,1734892788",1,"0,08966861598",1,"0,04483430799",0,"0,009746588694",1,"0,4333333333","0,5008190014",1,1,"0,7945280792",0,"-0,09613538247","-0,001473618203","0,1025189914","0,00009251260841","-0,06666666667","-0,06666666667","-0,05","-0,05","-0,01666666667","0,01666666667"
514,"1,32",1,"0,5486381323",1,"0,4474708171",1,"0,3560311284",0,"0,2587548638",0,"0,173151751",0,"0,08949416342",0,"0,04474708171",0,"0,009727626459",1,"0,45","0,5024529992",0,1,"0,785611853","-0,008916226191","-0,1311388586","-0,001997670877","0,07230495241","0,00006293724968","-0,03333333333","-0,05","-0,03333333333","-0,01666666667",0,"0,03333333333"
515,1,0,"0,5475728155",0,"0,4466019417",0,"0,3553398058",0,"0,2582524272",0,"0,172815534",0,"0,08932038835",0,"0,04466019417",0,"0,009708737864",0,"0,45","0,5008190014",0,1,"0,7842916538","-0,001320199127","-0,09591931999","-0,001442264624","0,1055471965","0,00009157391323","-0,03333333333","-0,06666666667","-0,01666666667","-0,03333333333",0,"0,03333333333"
516,"2,2",0,"0,5465116279",0,"0,4457364341",0,"0,3546511628",0,"0,257751938",0,"0,1724806202",0,"0,08914728682",0,"0,04457364341",0,"0,009689922481",0,"0,45","0,5008190014",0,0,"0,7842916538",0,"-0,09591931999","-0,001442264624","0,1055471965","0,00009157391323","-0,01666666667","-0,08333333333","-0,01666666667","-0,05",0,"0,01666666667"
517,"1,04",1,"0,5473887814",1,"0,4468085106",0,"0,3539651838",0,"0,2572533849",0,"0,1721470019",0,"0,08897485493",0,"0,04448742747",0,"0,009671179884",1,"0,4333333333","0,5008190014",1,1,"0,791603991","0,00731233718","-0,1050173811","-0,001594553435","0,08763631595","0,00007664353808","-0,03333333333","-0,08333333333","-0,03333333333","-0,08333333333","-0,01666666667",0
518,"1,03",0,"0,5463320463",0,"0,4459459459",0,"0,3532818533",0,"0,2567567568",0,"0,1718146718",0,"0,0888030888",0,"0,0444015444",0,"0,009652509653",0,"0,45","0,5008190014",0,0,"0,791603991",0,"-0,1050173811","-0,001594553435","0,08763631595","0,00007664353808",0,"-0,05","-0,01666666667","-0,06666666667",0,"0,01666666667"
519,"3,09",0,"0,5452793834",0,"0,4450867052",0,"0,3526011561",0,"0,2562620424",0,"0,1714836224",0,"0,08863198459",0,"0,04431599229",0,"0,009633911368",0,"0,45","0,5008190014",1,1,"0,791603991",0,"-0,1050173811","-0,001594553435","0,08763631595","0,00007664353808","0,01666666667","-0,05","-0,01666666667","-0,08333333333","0,01666666667","0,01666666667"
