,Rodada,level,apostar,acerto,contagem,odd,odd_entrada,odd_saida,media5,percentil5,percentil5geral,media10,percentil10,percentil10geral,media20,percentil20,percentil20geral,media40,percentil40,percentil40geral,media80,percentil80,percentil80geral,media160,percentil160,percentil160geral,media320,percentil320,percentil320geral,media640,percentil640,percentil640geral
count,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0
mean,100000.0,23.00639503197516,0.7041385206926034,0.7572687863439317,5.29278646393232,11.155112325561628,6.235671178355892,6.235721178605893,6.235557177785889,4.500507502537513,5.21673808369042,6.235370176850885,4.1145468227341135,5.596587357936787,6.234993424967125,3.8945869729348646,5.76683708418542,6.234287046435233,3.767718838594193,5.911239243696217,6.232992664963325,3.682760913804569,5.9941001423757125,6.230507652538263,3.6309506547532737,6.047405502652514,6.2255703622268115,3.639684448422242,6.0684861080555415,6.215621453107265,3.6743346216731085,6.0710350036125185
std,57734.88258121486,19.968855291568097,0.4564301764971,0.4287349888289606,4.881323569315546,365.28656415436194,3.057062778178617,3.0570589231926197,1.3609349781931595,1.8976128429654666,0.06918334928686212,0.9587109304223381,1.354305032083833,0.06466107884910535,0.6789889646319077,1.0323901552120798,0.10687554877004984,0.4845342146678683,0.7870590361897407,0.16008821904693296,0.3595236790865877,0.6198159663250037,0.23488424084478315,0.2978842826397062,0.5239636267326961,0.33885757631027513,0.3015029787252366,0.4978722413384649,0.4844210947861617,0.37149265017943794,0.5026739061851682,0.6892332120683862
min,1.0,1.0,0.0,0.0,-9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,50000.5,8.0,0.0,1.0,2.0,1.31,4.0,4.0,5.2,3.0,5.2,5.6,3.0,5.6,5.75,3.0,5.75,5.925,3.0,5.9,6.0125,3.0,6.0,6.06875,3.0,6.06875,6.115625,3.0,6.10625,6.1546875,3.0,6.146875
50%,100000.0,17.0,1.0,1.0,5.0,1.96,6.0,6.0,6.2,4.0,5.2,6.2,4.0,5.6,6.25,3.75,5.75,6.225,3.75,5.925,6.2375,4.0,6.0125,6.2375,4.0,6.06875,6.234375,4.0,6.1125,6.2328125,4.0,6.1546875
75%,149999.5,32.0,1.0,1.0,9.0,3.93,9.0,9.0,7.2,6.0,5.2,6.9,5.0,5.6,6.7,4.75,5.8,6.55,4.0,5.925,6.4625,4.0,6.0125,6.39375,4.0,6.075,6.353125,4.0,6.115625,6.315625,4.0,6.1578125
max,199999.0,114.0,1.0,1.0,14.0,101085.73,11.0,11.0,11.0,11.0,7.4,10.2,11.0,7.125,9.15,8.75,6.0375,8.95,8.0,5.925,7.6375,6.0,6.0125,7.1625,5.0,6.075,6.928125,5.0,6.121875,6.7296875,5.0,6.1625
