,Rodada,level,apostar,acerto,contagem,odd,odd_entrada,odd_saida,media80,desvpad80geral,percentil80geral,cv80,roc80,media160,desvpad160geral,percentil160geral,cv160,roc160,media320,desvpad320geral,percentil320geral,cv320,roc320,media640,desvpad640geral,percentil640geral,cv640,roc640
count,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199999.0,199998.0,199999.0,199999.0,199999.0,199999.0,199998.0,199999.0,199999.0,199999.0,199999.0,199998.0,199999.0,199999.0,199999.0,199999.0,199998.0
mean,100000.0,2.398111990559953,0.03547517737588688,0.6815934079670398,3.6729433647168235,16.353780218901093,6.244266221331107,6.244251221256106,6.241609083045414,3.014910774719871,6.006741674333371,2.07556682420469,0.3022156294671982,6.239014288821443,3.025430238030623,6.0602436762183824,0.4852818501630421,0.14234867922723132,6.233853231766159,3.0284905962668884,6.087675047750238,0.48540406328029684,0.06377260223578339,6.2236763683818435,3.026358880286301,6.0795677025260115,0.48488985444927196,0.025905232072682527
std,57734.88258121486,1.7411829176217253,0.18497799937071682,0.46585933425545795,5.420655248877273,1964.967512721695,3.039212345257131,3.0391962763777305,0.36112634144720535,0.168838803236516,0.1227954167180841,0.16863441779865243,7.820596037846387,0.2957443234113994,0.14007116439589606,0.271507905414674,0.029851384250803,5.383060098740964,0.30083469575648597,0.14586043457902928,0.4401245919402692,0.027058199541120247,4.625662988924638,0.37242823757136484,0.18132536333064805,0.6586169271837925,0.030532356234530794,2.798578903237578
min,1.0,1.0,0.0,0.0,-9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-36.637931034482754,0.0,0.0,0.0,0.0,-33.34051724137931,0.0,0.0,0.0,0.0,-33.98706896551724,0.0,0.0,0.0,0.0,-33.48599137931034
25%,50000.5,1.0,0.0,0.0,0.0,1.31,4.0,4.0,6.0125,2.9105143445789783,6.0,1.962135095621932,-5.046728971962622,6.08125,2.952726494276096,6.06875,0.46752394310785683,-3.564356435643558,6.13125,2.9773083875163158,6.115625,0.4739491544086615,-3.1233998975934574,6.1625,2.9969890489247706,6.1453125,0.4775509423103952,-1.8484430823660243
50%,100000.0,2.0,0.0,1.0,3.0,1.96,6.0,6.0,6.2375,3.019493955946923,6.0125,2.065841181528409,0.0,6.24375,3.028923075946301,6.08125,0.4854313178570534,0.0,6.240625,3.032697785697579,6.128125,0.486566958693623,-0.04972650422675,6.240625,3.035980522726554,6.1578125,0.4865198576833135,0.0
75%,149999.5,3.0,0.0,1.0,8.0,3.9,9.0,9.0,6.475,3.1252749879010646,6.0125,2.1793369340159647,5.360824742268044,6.4,3.104432315255077,6.08125,0.503068184768423,3.7000000000000015,6.35625,3.090914104274009,6.13125,0.4985236809863856,3.1853785900783262,6.3203125,3.0770062608478446,6.1640625,0.495787742063445,1.9092702669963972
max,199999.0,7.0,1.0,1.0,14.0,837137.31,11.0,11.0,7.5125,3.59163524734904,6.35,2.9616047476361747,41.99029126213591,7.2875,3.417047107884233,6.35625,0.6001937606883356,22.43303571428573,7.0375,3.294216937964924,6.1875,0.5725734504451742,19.805720453318933,6.8140625,3.216642210345285,6.16875,0.5444742853956208,10.132501948558067
